ID,SampleID,StartTimeUTC,EndTimeUTC,StartTimeLocal,EndTimeLocal,TCcounts,TCmass,TCconc,AE33_BC6,AE33_ValidData,AE33_b,OC,EC,CO2,Volume,Chamber,SetupID,a1,b1,c1,d1,e1,f1,a2,b2,c2,d2,e2,f2
15355,15476,2023-12-31 19:00:00,2023-12-31 20:00:00,2023-12-31 22:00:00,2023-12-31 23:00:00,596.25,10279.41,10374,444,100,1,9930,444,375.82,990.87,1,24,377.095109740452,-0.0167717968784414,0.0000280124010219574,-0.00000118388385125989,0.00000000564775486421304,-0.00000000000716913822039723,373.896153235853,0.01626943089302,0.0000285789127270146,-0.00000123747772128696,0.00000000578122894242956,-0.00000000000774849145510287
15356,15477,2023-12-31 20:00:00,2023-12-31 21:00:00,2023-12-31 23:00:00,2024-01-01 00:00:00,276.9,4740.57,4778,297,100,1,4481,297,371.74,992.22,2,24,369.911448507572,-0.0162924213879697,0.0000424382845334696,-0.000000675423012280072,0.00000000298589026396165,-0.00000000000355711176299987,369.942635903387,0.000488672502865113,0.000285585627488796,-0.00000285887771473267,0.0000000100810714629847,-0.0000000000116445627767133
15357,15478,2023-12-31 21:00:00,2023-12-31 22:00:00,2024-01-01 00:00:00,2024-01-01 01:00:00,222.55,3836.84,3870,260,100,1,3610,260,373.45,991.51,1,24,371.740668909489,-0.00924390036262934,-0.0000642985613166631,-0.000000211033805561121,0.0000000022719771143874,-0.00000000000338554809496965,371.29256533383,0.0119464358459869,0.0000290393224488375,-0.00000047419213886132,0.00000000125747913639814,-0.000000000000550033921813078
15358,15479,2023-12-31 22:00:00,2023-12-31 23:00:00,2024-01-01 01:00:00,2024-01-01 02:00:00,340.12,5822.79,5872,2301,100,1,3571,2301,370.61,991.66,2,24,362.668481570002,-0.0036818274426679,0.00000473084980144197,-0.000000591114030474642,0.00000000345326746418797,-0.00000000000496596813867004,367.351348982461,0.0198836253017274,-0.00000467200041496015,-0.000000578218290830852,0.00000000248126419623081,-0.00000000000268499899759484
15359,15480,2023-12-31 23:00:00,2024-01-01 00:00:00,2024-01-01 02:00:00,2024-01-01 03:00:00,206.36,3557.67,3587,539,100,1,3048,539,373.95,991.92,1,24,369.324371231011,-0.0118552874183627,0.000114955300561165,-0.00000180405093037913,0.000000008015339743922,-0.0000000000106914459539059,370.797103624163,0.0197742945421138,0.0000212615693304437,-0.000000820943501462094,0.00000000324337645304636,-0.00000000000352181231968746
15360,15481,2024-01-01 00:00:00,2024-01-01 01:00:00,2024-01-01 03:00:00,2024-01-01 04:00:00,185.6,3177.52,3202,286,100,1,2916,286,371.55,992.29,2,24,362.353531150872,-0.0148596863674366,0.000202378796175341,-0.00000202584726565991,0.00000000845412819408113,-0.0000000000114141313801363,367.784890498506,0.0311150461488094,-0.000175564729948068,0.000000396209501110722,0.0000000003875280129256,-0.00000000000132830074364297
15361,15482,2024-01-01 01:00:00,2024-01-01 02:00:00,2024-01-01 04:00:00,2024-01-01 05:00:00,182.98,3154.58,3182,281,100,1,2901,281,375.37,991.35,1,24,370.324773614058,-0.000410826820493461,-0.000133755172057005,0.000000316989915350463,0.000000000646845164822898,-0.00000000000177319766829464,372.229996430941,0.0198235824811079,-0.0000163541475251816,-0.000000243792897220833,0.000000000643134774567125,0.0000000000000970727128555286
15362,15483,2024-01-01 02:00:00,2024-01-01 03:00:00,2024-01-01 05:00:00,2024-01-01 06:00:00,201.2,3444.47,3475,330,93,1,3145,330,372.93,991.14,2,24,363.966592264753,-0.0289074094830379,0.000464218349289691,-0.00000374237929556177,0.0000000129578321735798,-0.0000000000155132829247177,369.189051109961,0.0211585982453019,0.00001636685865168,-0.000000715777192896112,0.0000000026873420126102,-0.00000000000255981957438179
15363,15484,2024-01-01 03:00:00,2024-01-01 04:00:00,2024-01-01 06:00:00,2024-01-01 07:00:00,203.42,3506.94,3537,312,100,1,3225,312,377.09,991.38,1,24,372.698788224342,-0.0231563113334512,0.000316647905221913,-0.0000028975621900394,0.0000000101223524168781,-0.0000000000117217303932826,373.823660297256,0.0179341298841253,0.0000223396456231913,-0.00000058672954903748,0.00000000187853031514337,-0.00000000000136357786815495
15364,15485,2024-01-01 04:00:00,2024-01-01 05:00:00,2024-01-01 07:00:00,2024-01-01 08:00:00,257.55,4409.19,4448,321,100,1,4127,321,383.38,991.34,2,24,367.673420069389,-0.007184690787723,0.0000398323454885912,-0.000000371821669684592,0.00000000153947599201162,-0.00000000000153716123949815,377.320537119421,0.0349513144079283,0.0000432582751608693,-0.00000126873085628523,0.0000000049153731571025,-0.00000000000550519728959905
