Date;Time;Type;D/N;Pump Run Time Total(h:m);Time of Measurement(h:m);Motorspeed(%);Actual(m3/h);Actual(Nm3/h);Actual(m3);Actual(Nm3);Filter Press.(hPa);Air Pressure(hPa);Outdoor Temp.('C);Filter Temp.('C);Chamber Temp.('C);Temperature orifice('C);Rel.Humidity(%);Magazine Position;Measuring Typ;Sample ID;Max. Planned Pos.;Event;Error
01.10.2023 09:30:00;LVS 3.1;00977;11000:21;0:00; 0,0; 0,00; 0,00;   0,000;   0,000; 0,0;987,0;12,4;;;26,4;84,6;1;Time;;;;
01.10.2023 10:30:00;LVS 3.1;00977;11001:21;1:00;64,6; 2,29; 2,14;   2,295;   2,142;56,7;987,0;12,2;;;22,9;87,9;1;Time;;;;;
01.10.2023 11:30:00;LVS 3.1;00977;11002:21;2:00;64,6; 2,30; 2,15;   4,595;   4,291;56,7;987,0;12,1;;;22,8;89,9;1;Time;;;;;
01.10.2023 12:30:00;LVS 3.1;00977;11003:21;3:00;64,3; 2,30; 2,14;   6,895;   6,433;57,0;987,0;12,9;;;23,3;84,0;1;Time;;;;;
01.10.2023 13:30:00;LVS 3.1;00977;11004:21;4:00;64,1; 2,30; 2,13;   9,195;   8,567;56,7;988,0;14,3;;;24,3;73,8;1;Time;;;;;
01.10.2023 14:30:00;LVS 3.1;00977;11005:21;5:00;64,3; 2,30; 2,13;  11,495;  10,691;56,9;988,0;15,6;;;25,4;65,4;1;Time;;;;;
01.10.2023 15:30:00;LVS 3.1;00977;11006:21;6:00;64,3; 2,30; 2,13;  13,795;  12,820;57,2;988,0;15,0;;;25,2;64,8;1;Time;;;;;
01.10.2023 16:30:00;LVS 3.1;00977;11007:21;7:00;64,4; 2,30; 2,13;  16,095;  14,953;56,9;988,0;14,5;;;24,8;61,8;1;Time;;;;;
01.10.2023 17:30:00;LVS 3.1;00977;11008:21;8:00;64,5; 2,30; 2,14;  18,395;  17,091;57,2;988,0;13,8;;;24,3;66,3;1;Time;;;;;
01.10.2023 18:30:00;LVS 3.1;00977;11009:21;9:00;64,6; 2,30; 2,14;  20,695;  19,233;57,2;989,0;13,4;;;24,0;69,1;1;Time;;;;;
01.10.2023 19:30:00;LVS 3.1;00977;11010:21;10:00;64,6; 2,30; 2,15;  22,995;  21,379;56,9;989,0;12,8;;;23,7;69,7;1;Time;;;;;
01.10.2023 20:30:00;LVS 3.1;00977;11011:21;11:00;64,6; 2,30; 2,15;  25,295;  23,529;56,7;989,0;12,3;;;23,3;68,8;1;Time;;;;;
01.10.2023 21:30:00;LVS 3.1;00977;11012:21;12:00;64,7; 2,30; 2,15;  27,595;  25,684;56,7;989,0;11,7;;;22,9;70,1;1;Time;;;;;
01.10.2023 22:30:00;LVS 3.1;00977;11013:21;13:00;64,8; 2,30; 2,16;  29,895;  27,841;57,0;989,0;11,4;;;22,7;73,2;1;Time;;;;;
