Motorspeed(%),Actual(m3/h),Actual(Nm3/h),Actual(m3),Actual(Nm3),Filter Press.(hPa),Air Pressure(hPa),Outdoor Temp.('C),Filter Temp.('C),Chamber Temp.('C),Temperature orifice('C),Rel.Humidity(%),Magazine Position,Sample ID,Date
"0,0","0,00","0,00","0,000","0,000","0,0","991,0","-12,7","19,6","21,0","24,0","78,7",1,,2024-01-01 16:23:01
"0,0","0,00","0,00","0,000","0,000","0,2","991,0","-12,7","33,8","20,7","24,4","79,0",1,,2024-01-01 16:30:00
"40,7","2,29","2,36","2,294","2,357","67,1","991,0","-12,9","21,1","20,7","20,3","78,9",1,,2024-01-01 17:30:00
"41,2","2,30","2,36","4,592","4,718","67,0","990,0","-13,0","21,4","20,7","21,8","78,9",1,,2024-01-01 18:30:00
"41,4","2,30","2,36","6,890","7,082","66,7","990,0","-13,3","22,6","20,7","22,9","78,8",1,,2024-01-01 19:30:00
"41,4","2,30","2,37","9,187","9,450","67,5","991,0","-13,7","18,0","20,7","23,3","79,2",1,,2024-01-01 20:30:00
"41,5","2,30","2,37","11,485","11,818","68,1","991,0","-13,8","13,9","20,7","23,7","80,3",1,,2024-01-01 21:30:00
"41,6","2,30","2,37","13,783","14,190","67,4","990,0","-14,2","14,1","20,7","23,9","80,5",1,,2024-01-01 22:30:00
"41,6","2,30","2,38","16,080","16,566","68,0","991,0","-14,6","14,1","20,7","23,9","81,4",1,,2024-01-01 23:30:00
"41,4","2,30","2,38","18,378","18,945","68,3","991,0","-14,9","14,1","20,7","23,9","80,9",1,,2024-01-02 00:30:00
"41,4","2,30","2,38","20,676","21,323","68,9","991,0","-14,7","14,1","20,7","23,8","79,9",1,,2024-01-02 01:30:00
"41,4","2,30","2,38","22,973","23,703","68,6","990,0","-15,1","14,1","20,7","23,9","79,9",1,,2024-01-02 02:30:00
"41,6","2,30","2,38","25,271","26,087","68,6","990,0","-15,6","13,9","20,7","23,7","80,0",1,,2024-01-02 03:30:00
"41,6","2,30","2,39","27,569","28,478","68,6","990,0","-16,3","13,6","20,7","23,5","81,4",1,,2024-01-02 04:30:00
"41,7","2,30","2,39","29,866","30,871","68,6","990,0","-16,6","13,4","20,6","23,3","81,7",1,,2024-01-02 05:30:00
"41,8","2,30","2,40","32,164","33,269","69,8","990,0","-17,2","13,3","20,7","23,2","81,2",1,,2024-01-02 06:30:00
"41,9","2,30","2,41","34,462","35,676","69,8","990,0","-18,2","12,9","20,7","23,0","82,0",1,,2024-01-02 07:30:00
"41,9","2,30","2,41","36,759","38,090","70,4","990,0","-18,9","12,5","20,7","22,6","83,5",1,,2024-01-02 08:30:00
"42,0","2,30","2,41","39,057","40,504","70,4","989,0","-19,0","12,5","20,7","22,6","81,8",1,,2024-01-02 09:30:00
"41,9","2,30","2,42","41,355","42,922","70,1","989,0","-19,4","12,4","20,6","22,5","80,8",1,,2024-01-02 10:30:00
"41,8","2,30","2,42","43,652","45,364","70,1","989,0","-19,5","12,3","20,6","22,3","78,7",1,,2024-01-02 11:30:00
"41,9","2,30","2,42","45,950","47,782","70,6","989,0","-19,5","12,4","20,7","22,4","77,4",1,,2024-01-02 12:30:00
"41,9","2,30","2,42","48,248","50,292","70,1","989,0","-19,3","12,3","20,6","22,3","76,8",1,,2024-01-02 13:30:00
"41,9","2,30","2,42","50,545","52,707","70,1","988,0","-19,4","12,3","20,6","22,3","76,3",1,,2024-01-02 14:30:00
"41,8","2,30","2,41","52,843","55,229","70,1","988,0","-19,1","12,2","20,7","22,2","74,5",1,,2024-01-02 15:30:00
"41,8","2,30","2,41","55,141","57,641","70,7","988,0","-19,0","12,1","20,6","22,1","75,8",1,,2024-01-02 16:30:00
"41,7","2,30","2,41","55,143","57,643","70,4","988,0","-19,1","12,2","19,3","21,8","76,7",1,,2024-01-02 16:30:03
"41,7","2,30","2,39","55,143","57,643","67,5","991,0","-16,6","14,4","20,7","22,9","79,6",1,,2024-01-02 16:30:26
"0,0","0,00","0,00","0,000","0,000","0,2","990,0","-19,7","30,6","21,7","25,0","76,9",1,,2024-01-02 18:29:08
"0,0","0,00","0,00","0,000","0,000","0,7","990,0","-23,2","27,7","21,9","23,2","78,5",1,,2024-01-03 09:30:00
"41,6","2,29","2,45","2,294","2,449","68,4","989,0","-23,1","12,2","20,7","15,9","77,9",1,,2024-01-03 10:30:00
"41,9","2,30","2,45","4,592","4,894","68,9","989,0","-22,4","11,4","20,7","16,8","77,5",1,,2024-01-03 11:30:00
"41,9","2,30","2,44","6,890","7,332","69,1","988,0","-21,7","12,1","20,7","17,9","76,7",1,,2024-01-03 12:30:00
"42,0","2,30","2,43","9,188","9,767","69,4","988,0","-21,5","12,7","20,7","18,6","76,0",1,,2024-01-03 13:30:00
"41,7","2,30","2,43","11,485","12,200","68,8","988,0","-21,3","13,4","20,7","18,9","76,4",1,,2024-01-03 14:30:00
"41,8","2,30","2,43","13,783","14,630","68,8","988,0","-21,1","13,9","20,6","19,1","77,1",1,,2024-01-03 15:30:00
"41,8","2,30","2,43","16,081","17,059","69,6","988,0","-21,0","14,3","20,6","19,4","77,9",1,,2024-01-03 16:30:00
"42,0","2,30","2,43","18,378","19,493","69,6","988,0","-21,5","14,4","20,6","19,4","79,2",1,,2024-01-03 17:30:00
"42,1","2,30","2,44","20,676","21,932","69,8","987,0","-22,0","14,4","20,6","19,4","79,9",1,,2024-01-03 18:30:00
"42,1","2,30","2,44","22,974","24,372","70,7","987,0","-22,3","14,5","20,6","19,4","79,8",1,,2024-01-03 19:30:00
"42,1","2,30","2,44","25,272","26,815","70,7","987,0","-22,8","14,5","20,6","19,4","79,7",1,,2024-01-03 20:30:00
"42,3","2,30","2,45","27,569","29,266","71,8","986,0","-23,5","14,3","20,6","19,3","79,9",1,,2024-01-03 21:30:00
"42,4","2,30","2,45","29,867","31,721","71,3","986,0","-23,9","14,2","20,6","19,3","79,3",1,,2024-01-03 22:30:00
"42,3","2,30","2,46","32,165","34,176","71,6","986,0","-24,1","14,2","20,6","19,2","79,1",1,,2024-01-03 23:30:00
"42,2","2,30","2,46","34,462","36,635","72,1","986,0","-24,5","14,1","20,6","19,0","78,8",1,,2024-01-04 00:30:00
"42,2","2,30","2,46","36,760","39,094","71,3","986,0","-24,5","14,0","20,6","19,0","78,6",1,,2024-01-04 01:30:00
"42,2","2,30","2,46","39,058","41,549","71,9","985,0","-24,3","14,1","20,6","19,0","78,6",1,,2024-01-04 02:30:00
"42,2","2,30","2,46","41,355","44,005","72,1","985,0","-24,4","14,0","20,6","18,9","78,8",1,,2024-01-04 03:30:00
"42,3","2,30","2,45","43,653","46,458","72,4","984,0","-24,2","14,0","20,6","18,9","78,6",1,,2024-01-04 04:30:00
"42,1","2,30","2,45","45,951","48,908","73,0","984,0","-24,0","13,9","20,6","18,9","79,3",1,,2024-01-04 05:30:00
"42,1","2,30","2,45","48,249","51,358","72,7","984,0","-24,1","13,9","20,6","18,9","78,8",1,,2024-01-04 06:30:00
"42,1","2,30","2,45","50,546","53,806","72,1","984,0","-24,0","13,9","20,6","18,9","78,5",1,,2024-01-04 07:30:00
"42,1","2,30","2,45","52,844","56,253","71,9","983,0","-23,9","13,9","20,6","18,9","78,6",1,,2024-01-04 08:30:00
"42,1","2,30","2,45","54,761","58,294","72,7","983,0","-23,8","14,1","20,6","19,0","78,3",1,,2024-01-04 09:20:03
"42,1","2,30","2,45","54,761","58,294","72,7","987,0","-23,1","13,8","20,6","18,8","78,5",1,,2024-01-04 09:20:26
"0,0","0,00","0,00","0,000","0,000","0,6","986,0","-21,5","14,2","19,9","23,0","77,9",1,,2024-01-05 09:57:28
"0,0","0,00","0,00","0,000","0,000","0,4","986,0","-21,5","33,1","19,4","23,0","77,9",1,,2024-01-05 10:00:00
"41,1","2,30","2,42","4,592","4,851","71,5","986,0","-21,0","14,4","20,7","17,4","77,3",1,,2024-01-05 12:00:00
"40,9","2,30","2,41","6,890","7,258","70,5","986,0","-19,1","15,1","20,7","18,5","74,4",1,,2024-01-05 13:00:00
"40,8","2,30","2,39","9,188","9,650","70,8","986,0","-17,6","16,4","20,7","19,6","71,8",1,,2024-01-05 14:00:00
"41,0","2,30","2,40","11,485","12,047","70,5","986,0","-18,2","16,7","20,6","20,1","75,0",1,,2024-01-05 15:00:00
"41,0","2,30","2,40","13,783","14,449","71,6","986,0","-18,6","16,8","20,6","20,1","77,7",1,,2024-01-05 16:00:00
"41,2","2,30","2,41","16,081","16,854","71,3","986,0","-19,0","16,8","20,6","20,2","79,4",1,,2024-01-05 17:00:00
"41,2","2,30","2,41","18,378","19,261","71,0","986,0","-19,2","16,7","20,7","20,2","79,9",1,,2024-01-05 18:00:00
"41,2","2,30","2,41","20,676","21,670","71,8","986,0","-19,4","16,7","20,7","20,2","79,6",1,,2024-01-05 19:00:00
"41,3","2,30","2,41","22,974","24,081","72,1","986,0","-19,5","16,7","20,6","20,2","80,3",1,,2024-01-05 20:00:00
