Motorspeed(%),Actual(m3/h),Actual(Nm3/h),Actual(m3),Actual(Nm3),Filter Press.(hPa),Air Pressure(hPa),Outdoor Temp.('C),Filter Temp.('C),Chamber Temp.('C),Temperature orifice('C),Rel.Humidity(%),Magazine Position,Sample ID,Date
"38,7","2,30","2,16","34,462","32,576","68,9","985,0","9,5","23,4","20,6","28,1","91,8",1,,2023-11-01 00:30:00
"38,5","2,30","2,15","36,759","34,729","68,9","984,0","10,3","23,6","20,7","28,2","89,0",1,,2023-11-01 01:30:00
"38,6","2,30","2,15","39,057","36,878","69,8","983,0","10,7","23,7","20,7","28,3","87,8",1,,2023-11-01 02:30:00
"38,6","2,30","2,15","41,355","39,027","68,9","983,0","10,4","23,7","20,6","28,3","89,2",1,,2023-11-01 03:30:00
"38,6","2,30","2,15","43,653","41,175","69,8","982,0","10,4","23,7","20,6","28,4","89,9",1,,2023-11-01 04:30:00
"38,5","2,30","2,14","45,950","43,320","68,6","981,0","10,6","23,8","20,6","28,4","89,9",1,,2023-11-01 05:30:00
"38,5","2,30","2,14","48,248","45,461","68,6","981,0","11,0","24,0","20,7","28,5","89,4",1,,2023-11-01 06:30:00
"38,6","2,30","2,14","50,546","47,603","69,2","981,0","10,8","23,9","20,6","28,5","90,4",1,,2023-11-01 07:30:00
"38,5","2,30","2,14","51,805","48,776","69,2","980,0","10,8","23,9","20,6","28,5","90,5",1,,2023-11-01 08:02:53
"38,5","2,30","2,16","51,805","48,776","69,8","987,0","9,5","23,3","20,6","27,9","89,7",1,,2023-11-01 08:03:02
"0,0","0,00","0,00","0,000","0,000","0,0","980,0","10,9","31,6","21,1","28,6","89,9",1,,2023-11-01 08:06:59
"0,0","0,00","0,00","0,000","0,000","0,0","981,0","12,1","34,6","21,3","28,2","84,7",1,,2023-11-01 09:30:00
"37,7","2,29","2,13","2,294","2,128","67,8","981,0","12,2","26,4","20,6","27,3","83,9",1,,2023-11-01 10:30:00
"37,9","2,30","2,13","4,592","4,255","67,4","981,0","12,7","26,7","20,6","28,6","81,9",1,,2023-11-01 11:30:00
"37,9","2,30","2,12","6,889","6,377","67,9","980,0","13,2","27,3","20,7","29,3","80,2",1,,2023-11-01 12:30:00
"37,8","2,30","2,11","9,187","8,489","67,0","980,0","14,6","28,3","20,6","30,0","75,2",1,,2023-11-01 13:30:00
"37,6","2,30","2,10","11,485","10,590","67,6","979,0","15,8","28,5","20,7","30,2","69,9",1,,2023-11-01 14:30:00
"37,8","2,30","2,10","13,782","12,693","67,6","979,0","15,5","28,8","20,6","30,4","70,0",1,,2023-11-01 15:30:00
"37,9","2,30","2,11","16,080","14,799","67,5","978,0","15,0","29,0","20,6","30,5","71,9",1,,2023-11-01 16:30:00
"38,0","2,30","2,11","18,378","16,909","67,5","978,0","14,4","28,9","20,6","30,3","74,2",1,,2023-11-01 17:30:00
"38,1","2,30","2,11","20,675","19,022","68,1","978,0","13,9","29,0","20,6","30,1","76,4",1,,2023-11-01 18:30:00
"38,1","2,30","2,11","22,973","21,136","67,9","978,0","13,6","35,0","20,6","30,0","77,8",1,,2023-11-01 19:30:00
"38,2","2,30","2,12","25,271","23,253","67,3","978,0","13,3","36,6","20,6","29,9","79,7",1,,2023-11-01 20:30:00
"38,2","2,30","2,12","27,187","25,019","68,4","978,0","13,1","37,9","20,6","29,9","80,4",1,,2023-11-01 21:20:03
"38,2","2,30","2,12","27,187","25,019","68,1","980,0","14,0","30,1","20,6","29,7","76,7",1,,2023-11-01 21:20:26
"0,0","0,00","0,00","0,000","0,000","0,1","978,0","13,1","41,6","21,2","30,2","80,6",1,,2023-11-01 21:22:06
"0,0","0,00","0,00","0,000","0,000","0,0","977,0","13,1","34,1","21,5","29,8","80,9",1,,2023-11-01 21:30:00
"38,0","2,29","2,12","2,294","2,115","66,3","978,0","12,9","27,3","20,6","29,9","81,6",1,,2023-11-01 22:30:00
"38,1","2,30","2,12","4,592","4,236","66,6","978,0","12,7","27,0","20,6","29,8","82,8",1,,2023-11-01 23:30:00
"38,2","2,30","2,12","6,889","6,358","66,3","977,0","12,5","27,0","20,6","29,8","85,1",1,,2023-11-02 00:30:00
"38,2","2,30","2,12","9,187","8,480","66,6","977,0","12,3","26,9","20,7","29,8","86,3",1,,2023-11-02 01:30:00
"38,2","2,30","2,12","11,485","10,602","66,6","977,0","12,3","26,9","20,6","29,7","85,9",1,,2023-11-02 02:30:00
"38,3","2,30","2,12","13,782","12,725","66,6","977,0","12,1","26,8","20,6","29,7","86,9",1,,2023-11-02 03:30:00
"38,3","2,30","2,12","16,080","14,849","66,3","976,0","12,0","26,8","20,6","29,7","88,4",1,,2023-11-02 04:30:00
"38,3","2,30","2,13","18,378","16,975","66,6","976,0","11,5","26,6","20,7","29,5","92,5",1,,2023-11-02 05:30:00
"38,6","2,30","2,14","20,675","19,111","67,5","976,0","10,3","26,2","20,6","29,2","93,8",1,,2023-11-02 06:30:00
"38,7","2,30","2,14","22,973","21,254","66,9","976,0","9,3","25,7","20,6","28,9","92,7",1,,2023-11-02 07:30:00
"38,8","2,30","2,15","25,271","23,400","66,7","976,0","8,8","25,3","20,6","28,6","93,6",1,,2023-11-02 08:30:00
"38,8","2,30","2,15","27,187","25,191","67,2","976,0","8,7","25,1","20,7","28,4","93,2",1,,2023-11-02 09:20:03
"38,8","2,30","2,14","27,187","25,191","68,1","977,0","11,3","26,5","20,6","29,4","88,5",1,,2023-11-02 09:20:26
"0,0","0,00","0,00","0,000","0,000","0,0","976,0","8,7","36,1","20,2","28,6","93,1",1,1.0,2023-11-02 09:32:24
