Motorspeed(%),Actual(m3/h),Actual(Nm3/h),Actual(m3),Actual(Nm3),Filter Press.(hPa),Air Pressure(hPa),Outdoor Temp.('C),Filter Temp.('C),Chamber Temp.('C),Temperature orifice('C),Rel.Humidity(%),Magazine Position,Sample ID,Date
"36,6","2,30","2,10","18,379","16,685","62,8","986,0","18,0","23,0","20,6","24,9","74,1",1,,2023-08-01 01:00:00
"36,6","2,30","2,10","20,676","18,788","63,4","986,0","17,5","23,1","20,6","25,0","76,1",1,,2023-08-01 02:00:00
"36,9","2,30","2,11","22,974","20,894","63,4","986,0","17,3","23,1","20,6","25,1","77,2",1,,2023-08-01 03:00:00
"36,9","2,30","2,12","25,272","23,012","64,2","986,0","15,5","22,7","20,6","24,9","86,2",1,,2023-08-01 04:00:00
"37,0","2,30","2,12","27,569","25,133","63,7","986,0","15,2","22,6","20,6","24,9","87,6",1,,2023-08-01 05:00:00
"36,8","2,30","2,12","29,867","27,253","63,9","986,0","15,4","22,6","20,6","24,9","87,2",1,,2023-08-01 06:00:00
"36,4","2,30","2,10","32,164","29,353","61,4","987,0","18,1","23,2","20,6","25,1","79,9",1,,2023-08-01 07:00:00
"36,1","2,30","2,06","34,462","31,417","64,3","987,0","23,4","25,1","20,6","25,7","59,7",1,,2023-08-01 08:00:00
"36,1","2,30","2,06","36,760","33,476","64,9","987,0","24,1","26,0","20,6","25,7","53,9",1,,2023-08-01 09:00:00
"36,0","2,30","2,05","39,057","35,531","64,8","987,0","24,8","26,6","20,6","26,0","50,6",1,,2023-08-01 10:00:00
"36,3","2,30","2,06","41,355","37,587","64,3","987,0","24,6","26,8","20,6","26,4","51,0",1,,2023-08-01 11:00:00
"36,1","2,30","2,05","43,653","39,640","64,6","987,0","25,0","26,5","20,6","26,3","49,5",1,,2023-08-01 12:00:00
"35,7","2,30","2,06","45,950","41,697","64,3","987,0","24,4","26,3","20,6","26,3","52,2",1,,2023-08-01 13:00:00
"35,8","2,30","2,04","48,248","43,739","64,3","987,0","26,4","27,2","20,7","26,7","45,1",1,,2023-08-01 14:00:00
