Date;Time;Type;D/N;Pump Run Time Total(h:m);Time of Measurement(h:m);Motorspeed(%);Actual(m3/h);Actual(Nm3/h);Actual(m3);Actual(Nm3);Filter Press.(hPa);Air Pressure(hPa);Outdoor Temp.('C);Filter Temp.('C);Chamber Temp.('C);Temperature orifice('C);Rel.Humidity(%);Magazine Position;Measuring Typ;Sample ID;Max. Planned Pos.;Event;Error
01.01.2024 16:22:45;LVS 3.1;00977;12335:51;0:00; 0,0; 0,00; 0,00;   0,000;   0,000; 0,0;991,0;-12,8;;;25,2;77,6;1;Time;;;start of measurement;;
01.01.2024 16:30:00;LVS 3.1;00977;12335:51;0:00; 0,0; 0,00; 0,00;   0,000;   0,000; 0,1;991,0;-12,8;;;25,6;77,8;1;Time;;;;
01.01.2024 17:30:00;LVS 3.1;00977;12336:51;1:00;69,4; 2,29; 2,36;   2,295;   2,358;55,7;990,0;-13,1;;;13,5;77,6;1;Time;;;;;
01.01.2024 18:30:00;LVS 3.1;00977;12337:51;2:00;69,7; 2,30; 2,36;   4,595;   4,722;55,5;990,0;-13,1;;;12,8;77,6;1;Time;;;;;
01.01.2024 19:30:00;LVS 3.1;00977;12338:51;3:00;70,0; 2,30; 2,37;   6,895;   7,088;55,4;990,0;-13,5;;;13,1;77,4;1;Time;;;;;
01.01.2024 20:30:00;LVS 3.1;00977;12339:51;4:00;69,9; 2,30; 2,37;   9,195;   9,459;55,7;990,0;-13,9;;;13,0;77,9;1;Time;;;;;
01.01.2024 21:30:00;LVS 3.1;00977;12340:51;5:00;70,2; 2,30; 2,37;  11,495;  11,830;55,7;990,0;-14,0;;;13,2;78,9;1;Time;;;;;
01.01.2024 22:30:00;LVS 3.1;00977;12341:51;6:00;70,4; 2,30; 2,37;  13,795;  14,205;56,0;990,0;-14,4;;;13,3;79,0;1;Time;;;;;
01.01.2024 23:30:00;LVS 3.1;00977;12342:51;7:00;70,5; 2,30; 2,38;  16,095;  16,583;56,0;990,0;-14,8;;;13,2;80,1;1;Time;;;;;
02.01.2024 00:30:00;LVS 3.1;00977;12343:51;8:00;70,4; 2,30; 2,38;  18,395;  18,965;56,3;990,0;-15,1;;;12,9;79,5;1;Time;;;;;
