Date;Time;Type;D/N;Pump Run Time Total(h:m);Time of Measurement(h:m);Motorspeed(%);Actual(m3/h);Actual(Nm3/h);Actual(m3);Actual(Nm3);Filter Press.(hPa);Air Pressure(hPa);Outdoor Temp.('C);Filter Temp.('C);Chamber Temp.('C);Temperature orifice('C);Rel.Humidity(%);Magazine Position;Measuring Typ;Sample ID;Max. Planned Pos.;Event;Error
01.08.2023 01:00:00;PNS 18T DM-6.1;10704;13237:01;8:00;36,6; 2,30; 2,10;  18,379;  16,685;62,8;986,0;18,0;23,0;20,6;24,9;74,1;1;Time;;;;;
01.08.2023 02:00:00;PNS 18T DM-6.1;10704;13238:01;9:00;36,6; 2,30; 2,10;  20,676;  18,788;63,4;986,0;17,5;23,1;20,6;25,0;76,1;1;Time;;;;;
01.08.2023 03:00:00;PNS 18T DM-6.1;10704;13239:01;10:00;36,9; 2,30; 2,11;  22,974;  20,894;63,4;986,0;17,3;23,1;20,6;25,1;77,2;1;Time;;;;;
01.08.2023 04:00:00;PNS 18T DM-6.1;10704;13240:01;11:00;36,9; 2,30; 2,12;  25,272;  23,012;64,2;986,0;15,5;22,7;20,6;24,9;86,2;1;Time;;;;;
01.08.2023 05:00:00;PNS 18T DM-6.1;10704;13241:01;12:00;37,0; 2,30; 2,12;  27,569;  25,133;63,7;986,0;15,2;22,6;20,6;24,9;87,6;1;Time;;;;;
01.08.2023 06:00:00;PNS 18T DM-6.1;10704;13242:01;13:00;36,8; 2,30; 2,12;  29,867;  27,253;63,9;986,0;15,4;22,6;20,6;24,9;87,2;1;Time;;;;;
01.08.2023 07:00:00;PNS 18T DM-6.1;10704;13243:01;14:00;36,4; 2,30; 2,10;  32,164;  29,353;61,4;987,0;18,1;23,2;20,6;25,1;79,9;1;Time;;;;;
01.08.2023 08:00:00;PNS 18T DM-6.1;10704;13244:01;15:00;36,1; 2,30; 2,06;  34,462;  31,417;64,3;987,0;23,4;25,1;20,6;25,7;59,7;1;Time;;;;;
01.08.2023 09:00:00;PNS 18T DM-6.1;10704;13245:01;16:00;36,1; 2,30; 2,06;  36,760;  33,476;64,9;987,0;24,1;26,0;20,6;25,7;53,9;1;Time;;;;;
01.08.2023 10:00:00;PNS 18T DM-6.1;10704;13246:01;17:00;36,0; 2,30; 2,05;  39,057;  35,531;64,8;987,0;24,8;26,6;20,6;26,0;50,6;1;Time;;;;;
01.08.2023 11:00:00;PNS 18T DM-6.1;10704;13247:01;18:00;36,3; 2,30; 2,06;  41,355;  37,587;64,3;987,0;24,6;26,8;20,6;26,4;51,0;1;Time;;;;;
01.08.2023 12:00:00;PNS 18T DM-6.1;10704;13248:01;19:00;36,1; 2,30; 2,05;  43,653;  39,640;64,6;987,0;25,0;26,5;20,6;26,3;49,5;1;Time;;;;;
01.08.2023 13:00:00;PNS 18T DM-6.1;10704;13249:01;20:00;35,7; 2,30; 2,06;  45,950;  41,697;64,3;987,0;24,4;26,3;20,6;26,3;52,2;1;Time;;;;;
01.08.2023 14:00:00;PNS 18T DM-6.1;10704;13250:01;21:00;35,8; 2,30; 2,04;  48,248;  43,739;64,3;987,0;26,4;27,2;20,7;26,7;45,1;1;Time;;;;;
01.08.2023 15:00:00;PNS 18T DM-6.1;10704;13251:01;22:00;35,9; 2,30; 2,05;  50,545;  45,787;64,2;986,0;25,6;27,2;20,6;27,0;48,0;1;Time;;;;;
01.08.2023 16:00:00;PNS 18T DM-6.1;10704;13252:01;23:00;35,8; 2,30; 2,04;  52,843;  47,828;64,8;986,0;26,4;27,2;20,6;27,0;46,0;1;Time;;;;;
01.08.2023 17:00:00;PNS 18T DM-6.1;10704;13253:01;24:00;35,9; 2,30; 2,04;  55,140;  49,872;63,6;986,0;25,9;27,2;20,6;27,1;46,9;1;Time;;;;;
01.08.2023 17:00:03;PNS 18T DM-6.1;10704;13253:01;24:00;35,9; 2,30; 2,05;  55,142;  49,873;63,9;986,0;25,5;26,9;21,0;26,8;50,7;1;Time;;;end;;
01.08.2023 17:00:25;PNS 18T DM-6.1;10704;13253:01;24:00;35,9; 2,30; 2,08;  55,142;  49,873;63,9;986,0;21,2;24,8;20,6;25,7;63,4;1;Time;;;average values;;
03.08.2023 09:30:15;PNS 18T DM-6.1;10704;13253:01;0:00; 0,0; 0,00; 0,00;   0,000;   0,000; 0,1;985,0;25,6;26,8;20,7;22,2;64,4;1;Time;;;start of measurement;;
03.08.2023 09:30:16;PNS 18T DM-6.1;10704;13253:01;0:00; 0,0; 0,00; 0,00;   0,000;   0,000; 0,1;985,0;25,6;26,8;20,7;22,2;64,3;1;Time;;;;
03.08.2023 10:30:16;PNS 18T DM-6.1;10704;13254:01;0:59;34,9; 2,29; 2,04;   2,294;   2,039;64,9;985,0;25,9;26,0;20,7;24,7;63,2;1;Time;;;;;
03.08.2023 11:30:16;PNS 18T DM-6.1;10704;13255:01;1:59;35,4; 2,30; 2,04;   4,592;   4,074;65,1;985,0;26,9;27,1;20,6;26,4;58,7;1;Time;;;;;
03.08.2023 12:30:16;PNS 18T DM-6.1;10704;13256:01;2:59;35,7; 2,30; 2,03;   6,890;   6,107;64,4;985,0;27,2;27,7;20,7;27,3;57,3;1;Time;;;;;
03.08.2023 13:30:16;PNS 18T DM-6.1;10704;13257:01;3:59;35,8; 2,30; 2,03;   9,187;   8,138;63,9;985,0;27,5;28,5;20,7;29,0;54,4;1;Time;;;;;
