Motorspeed(%),Actual(m3/h),Actual(Nm3/h),Actual(m3),Actual(Nm3),Filter Press.(hPa),Air Pressure(hPa),Outdoor Temp.('C),Filter Temp.('C),Chamber Temp.('C),Temperature orifice('C),Rel.Humidity(%),Magazine Position,Sample ID,Date
"0,0","0,00","0,00","0,000","0,000","0,0","991,0","-12,8",,,"25,2","77,6",1,,2024-01-01 16:22:45
"0,0","0,00","0,00","0,000","0,000","0,1","991,0","-12,8",,,"25,6","77,8",1,,2024-01-01 16:30:00
"69,4","2,29","2,36","2,295","2,358","55,7","990,0","-13,1",,,"13,5","77,6",1,,2024-01-01 17:30:00
"69,7","2,30","2,36","4,595","4,722","55,5","990,0","-13,1",,,"12,8","77,6",1,,2024-01-01 18:30:00
"70,0","2,30","2,37","6,895","7,088","55,4","990,0","-13,5",,,"13,1","77,4",1,,2024-01-01 19:30:00
"69,9","2,30","2,37","9,195","9,459","55,7","990,0","-13,9",,,"13,0","77,9",1,,2024-01-01 20:30:00
"70,2","2,30","2,37","11,495","11,830","55,7","990,0","-14,0",,,"13,2","78,9",1,,2024-01-01 21:30:00
"70,4","2,30","2,37","13,795","14,205","56,0","990,0","-14,4",,,"13,3","79,0",1,,2024-01-01 22:30:00
"70,5","2,30","2,38","16,095","16,583","56,0","990,0","-14,8",,,"13,2","80,1",1,,2024-01-01 23:30:00
"70,4","2,30","2,38","18,395","18,965","56,3","990,0","-15,1",,,"12,9","79,5",1,,2024-01-02 00:30:00
"70,4","2,30","2,38","20,695","21,345","56,3","990,0","-14,9",,,"12,9","78,4",1,,2024-01-02 01:30:00
"70,6","2,30","2,38","22,994","23,728","56,3","990,0","-15,3",,,"12,9","78,4",1,,2024-01-02 02:30:00
"70,7","2,30","2,39","25,294","26,115","56,3","990,0","-15,8",,,"12,7","78,6",1,,2024-01-02 03:30:00
"70,9","2,30","2,39","27,594","28,509","56,6","990,0","-16,5",,,"12,3","79,8",1,,2024-01-02 04:30:00
"71,0","2,30","2,40","29,894","30,905","56,6","989,0","-16,9",,,"12,0","80,3",1,,2024-01-02 05:30:00
"71,2","2,30","2,40","32,194","33,307","56,6","989,0","-17,5",,,"11,8","79,6",1,,2024-01-02 06:30:00
"71,4","2,30","2,41","34,494","35,716","56,9","989,0","-18,3",,,"11,3","80,5",1,,2024-01-02 07:30:00
"71,4","2,30","2,42","36,794","38,258","56,6","989,0","-19,1",,,"10,8","82,0",1,,2024-01-02 08:30:00
"71,7","2,30","2,42","39,094","40,832","56,3","989,0","-19,2",,,"10,8","80,2",1,,2024-01-02 09:30:00
"71,6","2,30","2,42","41,394","43,253","56,6","989,0","-19,6",,,"10,6","79,3",1,,2024-01-02 10:30:00
"71,6","2,30","2,42","43,694","45,675","57,2","989,0","-19,8",,,"10,6","77,3",1,,2024-01-02 11:30:00
"71,6","2,30","2,42","45,994","48,097","57,2","988,0","-19,8",,,"10,7","76,0",1,,2024-01-02 12:30:00
"71,5","2,30","2,42","48,294","50,859","56,9","988,0","-19,6",,,"10,8","75,2",1,,2024-01-02 13:30:00
"71,4","2,30","2,42","50,594","53,591","57,2","988,0","-19,6",,,"10,7","74,7",1,,2024-01-02 14:30:00
"71,3","2,30","2,42","52,894","56,014","57,2","988,0","-19,3",,,"10,6","72,9",1,,2024-01-02 15:30:00
"71,3","2,30","2,42","55,194","58,430","57,2","988,0","-19,2",,,"10,5","74,4",1,,2024-01-02 16:30:00
"71,2","2,30","2,42","55,196","58,432","56,9","988,0","-19,3",,,"10,4","75,1",1,,2024-01-02 16:30:03
"71,2","2,30","2,40","55,196","58,432","56,9","990,0","-16,8",,,"12,0","78,2",1,,2024-01-02 16:30:03
"0,0","0,00","0,00","0,000","0,000","48,4","989,0","-19,9",,,"30,6","75,5",1,,2024-01-02 18:29:21
"0,0","0,00","0,00","0,000","0,000","0,2","989,0","-23,5",,,"22,2","76,8",1,,2024-01-03 09:30:00
"70,7","2,29","2,45","2,295","2,452","55,8","989,0","-23,4",,,"7,0","76,4",1,,2024-01-03 10:30:00
"71,0","2,30","2,45","4,595","4,902","55,6","988,0","-22,7",,,"6,1","76,0",1,,2024-01-03 11:30:00
"71,2","2,30","2,44","6,895","7,345","55,8","988,0","-22,1",,,"7,1","75,3",1,,2024-01-03 12:30:00
"71,3","2,30","2,44","9,195","9,785","55,7","988,0","-21,8",,,"7,7","74,8",1,,2024-01-03 13:30:00
"71,2","2,30","2,44","11,495","12,222","55,7","987,0","-21,7",,,"7,8","75,2",1,,2024-01-03 14:30:00
"71,1","2,30","2,43","13,795","14,656","55,7","987,0","-21,4",,,"7,8","75,7",1,,2024-01-03 15:30:00
"71,2","2,30","2,43","16,095","17,089","55,9","987,0","-21,3",,,"8,0","76,4",1,,2024-01-03 16:30:00
"71,5","2,30","2,44","18,395","19,527","56,2","987,0","-21,8",,,"7,8","77,7",1,,2024-01-03 17:30:00
"71,7","2,30","2,44","20,695","21,968","56,5","987,0","-22,3",,,"7,6","78,3",1,,2024-01-03 18:30:00
"71,7","2,30","2,44","22,995","24,412","56,8","986,0","-22,6",,,"7,5","78,1",1,,2024-01-03 19:30:00
"72,0","2,30","2,45","25,295","26,860","56,5","986,0","-23,1",,,"7,5","78,1",1,,2024-01-03 20:30:00
"72,1","2,30","2,45","27,595","29,314","56,8","986,0","-23,8",,,"7,2","78,4",1,,2024-01-03 21:30:00
"72,3","2,30","2,46","29,895","31,773","57,3","986,0","-24,2",,,"7,1","77,8",1,,2024-01-03 22:30:00
"72,4","2,30","2,46","32,195","34,233","57,6","985,0","-24,4",,,"6,9","77,5",1,,2024-01-03 23:30:00
"72,4","2,30","2,46","34,495","36,696","57,6","985,0","-24,8",,,"6,7","77,3",1,,2024-01-04 00:30:00
"72,3","2,30","2,46","36,795","39,159","57,7","985,0","-24,9",,,"6,6","77,1",1,,2024-01-04 01:30:00
"72,3","2,30","2,46","39,095","41,618","57,9","985,0","-24,6",,,"6,6","76,9",1,,2024-01-04 02:30:00
"72,3","2,30","2,46","41,395","44,078","57,6","984,0","-24,7",,,"6,6","77,2",1,,2024-01-04 03:30:00
"72,3","2,30","2,46","43,695","46,535","57,9","984,0","-24,6",,,"6,6","76,7",1,,2024-01-04 04:30:00
"72,2","2,30","2,45","45,995","48,989","58,2","984,0","-24,3",,,"6,6","77,7",1,,2024-01-04 05:30:00
"72,2","2,30","2,45","48,295","51,443","58,5","983,0","-24,4",,,"6,7","76,7",1,,2024-01-04 06:30:00
"72,2","2,30","2,45","50,595","53,895","58,2","983,0","-24,3",,,"6,7","76,7",1,,2024-01-04 07:30:00
"72,1","2,30","2,45","52,895","56,346","58,5","983,0","-24,2",,,"6,6","77,0",1,,2024-01-04 08:30:00
"72,3","2,30","2,45","54,814","58,390","58,8","983,0","-24,1",,,"6,9","76,7",1,,2024-01-04 09:20:03
"72,3","2,30","2,45","54,814","58,390","58,5","986,0","-23,4",,,"7,1","76,9",1,,2024-01-04 09:20:03
