Motorspeed(%),Actual(m3/h),Actual(Nm3/h),Actual(m3),Actual(Nm3),Filter Press.(hPa),Air Pressure(hPa),Outdoor Temp.('C),Filter Temp.('C),Chamber Temp.('C),Temperature orifice('C),Rel.Humidity(%),Magazine Position,Sample ID,Date
"0,0","0,00","0,00","0,000","0,000","0,3","1007,0","-8,9",,,"20,0","83,1",1,,2023-12-06 10:29:26
"0,0","0,00","0,00","0,000","0,000","0,0","1007,0","-8,9",,,"20,0","83,1",1,,2023-12-06 10:30:00
"67,8","2,29","2,36","2,295","2,360","58,8","1007,0","-9,0",,,"11,6","82,5",1,,2023-12-06 11:30:00
"67,9","2,30","2,35","4,595","4,713","58,2","1006,0","-7,6",,,"12,2","76,1",1,,2023-12-06 12:30:00
"68,3","2,30","2,35","6,895","7,064","58,7","1006,0","-7,5",,,"13,7","74,8",1,,2023-12-06 13:30:00
"68,7","2,30","2,35","9,195","9,413","58,6","1006,0","-7,2",,,"14,4","72,5",1,,2023-12-06 14:30:00
"69,1","2,30","2,36","11,495","11,774","58,8","1006,0","-8,6",,,"14,2","77,7",1,,2023-12-06 15:30:00
"69,4","2,30","2,38","13,795","14,150","59,4","1007,0","-10,1",,,"14,0","83,1",1,,2023-12-06 16:30:00
"69,4","2,30","2,38","16,095","16,527","59,3","1007,0","-10,2",,,"14,0","84,8",1,,2023-12-06 17:30:00
"69,5","2,30","2,38","18,395","18,903","59,9","1007,0","-10,0",,,"14,4","84,4",1,,2023-12-06 18:30:00
"69,4","2,30","2,37","20,695","21,278","59,8","1008,0","-9,7",,,"14,7","85,2",1,,2023-12-06 19:30:00
"69,4","2,30","2,37","22,995","23,646","60,1","1008,0","-8,8",,,"15,2","83,8",1,,2023-12-06 20:30:00
"69,5","2,30","2,37","25,295","26,013","60,1","1009,0","-8,7",,,"15,7","82,4",1,,2023-12-06 21:30:00
"69,7","2,30","2,37","27,595","28,383","60,6","1009,0","-8,8",,,"15,9","83,6",1,,2023-12-06 22:30:00
"69,7","2,30","2,37","29,895","30,754","60,6","1009,0","-8,9",,,"16,1","84,2",1,,2023-12-06 23:30:00
"69,8","2,30","2,37","32,195","33,127","60,9","1010,0","-9,0",,,"16,3","84,1",1,,2023-12-07 00:30:00
"70,0","2,30","2,37","34,495","35,499","60,8","1010,0","-8,9",,,"16,5","84,0",1,,2023-12-07 01:30:00
"70,2","2,30","2,38","36,795","37,876","61,1","1010,0","-9,3",,,"16,6","84,2",1,,2023-12-07 02:30:00
"70,4","2,30","2,38","39,095","40,260","61,4","1011,0","-10,0",,,"16,6","84,7",1,,2023-12-07 03:30:00
"70,5","2,30","2,39","41,395","42,647","61,1","1011,0","-10,4",,,"16,4","85,5",1,,2023-12-07 04:30:00
"70,5","2,30","2,39","43,695","45,036","61,4","1011,0","-10,4",,,"16,4","85,7",1,,2023-12-07 05:30:00
"70,6","2,30","2,39","45,995","47,425","61,6","1011,0","-10,3",,,"16,5","85,1",1,,2023-12-07 06:30:00
"70,7","2,30","2,39","48,295","49,818","61,9","1012,0","-10,7",,,"16,5","84,4",1,,2023-12-07 07:30:00
"70,8","2,30","2,40","50,595","52,215","62,2","1012,0","-10,9",,,"16,5","84,4",1,,2023-12-07 08:30:00
"70,8","2,30","2,40","52,895","54,614","62,2","1013,0","-11,1",,,"16,5","84,5",1,,2023-12-07 09:30:00
"70,8","2,30","2,40","55,195","57,015","62,5","1013,0","-11,2",,,"16,4","83,3",1,,2023-12-07 10:30:00
"70,8","2,30","2,40","55,197","57,017","62,5","1014,0","-11,0",,,"16,4","81,7",1,,2023-12-07 10:30:03
"70,8","2,30","2,38","55,197","57,017","62,2","1010,0","-9,5",,,"15,3","82,7",1,,2023-12-07 10:30:03
"0,0","0,00","0,00","0,000","0,000","52,5","1012,0","-14,6",,,"14,8","81,0",1,,2023-12-09 09:32:34
"0,0","0,00","0,00","0,000","0,000","0,4","1012,0","-14,6",,,"14,8","81,0",1,,2023-12-09 09:32:35
