Motorspeed(%),Actual(m3/h),Actual(Nm3/h),Actual(m3),Actual(Nm3),Filter Press.(hPa),Air Pressure(hPa),Outdoor Temp.('C),Filter Temp.('C),Chamber Temp.('C),Temperature orifice('C),Rel.Humidity(%),Magazine Position,Sample ID,Date
"63,9","2,30","2,11","34,495","31,235","56,8","991,0","18,7",,,"25,0","69,9",1,,2023-09-01 00:30:00
"64,0","2,30","2,11","36,795","33,350","56,8","991,0","17,8",,,"24,8","74,0",1,,2023-09-01 01:30:00
"64,1","2,30","2,12","39,095","35,471","56,8","991,0","16,9",,,"24,4","77,8",1,,2023-09-01 02:30:00
"64,2","2,30","2,13","41,395","37,597","57,1","991,0","16,3",,,"24,0","80,4",1,,2023-09-01 03:30:00
"64,2","2,30","2,13","43,695","39,727","56,9","991,0","15,6",,,"23,5","82,9",1,,2023-09-01 04:30:00
"64,4","2,30","2,14","45,995","41,863","57,2","991,0","15,0",,,"23,2","85,5",1,,2023-09-01 05:30:00
"64,2","2,30","2,14","48,295","44,001","56,9","991,0","14,6",,,"22,9","87,3",1,,2023-09-01 06:30:00
"63,8","2,30","2,13","50,595","46,128","56,9","991,0","16,2",,,"23,3","81,6",1,,2023-09-01 07:30:00
"63,4","2,30","2,11","52,895","48,235","57,7","991,0","18,9",,,"24,8","70,6",1,,2023-09-01 08:30:00
"63,1","2,30","2,09","55,195","50,328","57,7","991,0","21,0",,,"26,5","62,5",1,,2023-09-01 09:30:00
"63,1","2,30","2,09","55,197","50,329","57,9","992,0","22,0",,,"27,0","58,7",1,,2023-09-01 09:30:03
"63,1","2,30","2,10","55,197","50,329","57,9","992,0","20,3",,,"26,0","65,4",1,,2023-09-01 09:30:03
"0,0","0,00","0,00","0,000","0,000","0,0","995,0","18,3",,,"25,4","84,9",1,,2023-09-02 16:25:03
"0,0","0,00","0,00","0,000","0,000","0,0","997,0","17,1",,,"23,8","75,0",1,,2023-09-03 09:30:00
"63,2","2,29","2,12","2,295","2,122","56,4","996,0","17,7",,,"23,5","73,7",1,,2023-09-03 10:30:00
"62,9","2,30","2,11","4,595","4,234","56,6","996,0","19,7",,,"25,3","62,7",1,,2023-09-03 11:30:00
"62,8","2,30","2,10","6,895","6,334","56,6","996,0","21,4",,,"26,7","53,2",1,,2023-09-03 12:30:00
"63,1","2,30","2,10","9,195","8,437","56,0","996,0","20,9",,,"26,2","52,9",1,,2023-09-03 13:30:00
"62,6","2,30","2,10","11,495","10,537","56,0","996,0","21,3",,,"26,1","52,9",1,,2023-09-03 14:30:00
"62,7","2,30","2,09","13,795","12,692","55,7","996,0","22,4",,,"27,0","49,8",1,,2023-09-03 15:30:00
"63,0","2,30","2,09","16,095","14,785","56,2","996,0","22,6",,,"27,4","46,5",1,,2023-09-03 16:30:00
"62,9","2,30","2,10","18,395","16,882","55,7","996,0","21,6",,,"26,8","49,8",1,,2023-09-03 17:30:00
"63,2","2,30","2,10","20,695","18,980","56,2","996,0","21,4",,,"26,3","54,3",1,,2023-09-03 18:30:00
"64,2","2,30","2,12","22,995","21,104","56,5","996,0","17,9",,,"25,5","67,4",1,,2023-09-03 19:30:00
"64,3","2,30","2,14","25,295","23,245","56,2","996,0","15,6",,,"24,3","75,2",1,,2023-09-03 20:30:00
"64,4","2,30","2,15","27,595","25,393","56,2","996,0","14,8",,,"23,6","78,2",1,,2023-09-03 21:30:00
"64,4","2,30","2,15","29,895","27,544","56,8","996,0","14,2",,,"23,2","79,9",1,,2023-09-03 22:30:00
"64,5","2,30","2,16","32,194","29,700","56,3","996,0","13,8",,,"22,8","83,0",1,,2023-09-03 23:30:00
"64,5","2,30","2,16","34,494","31,860","56,3","996,0","13,2",,,"22,4","86,0",1,,2023-09-04 00:30:00
"64,5","2,30","2,16","36,794","34,023","56,9","997,0","12,9",,,"22,0","88,9",1,,2023-09-04 01:30:00
"64,5","2,30","2,16","39,094","36,187","56,9","997,0","12,8",,,"21,8","88,1",1,,2023-09-04 02:30:00
"64,6","2,30","2,17","41,394","38,354","57,2","997,0","12,3",,,"21,5","89,2",1,,2023-09-04 03:30:00
"64,6","2,30","2,17","43,694","40,525","57,2","997,0","11,8",,,"21,2","91,0",1,,2023-09-04 04:30:00
"64,5","2,30","2,17","45,994","42,699","56,9","997,0","11,5",,,"20,9","92,2",1,,2023-09-04 05:30:00
"64,5","2,30","2,17","48,294","44,869","57,2","997,0","12,1",,,"21,0","91,3",1,,2023-09-04 06:30:00
"64,1","2,30","2,16","50,594","47,032","57,2","998,0","13,2",,,"21,4","87,6",1,,2023-09-04 07:30:00
"63,8","2,30","2,14","52,894","49,175","57,4","998,0","15,9",,,"22,9","76,2",1,,2023-09-04 08:30:00
"63,6","2,30","2,13","55,194","51,303","57,7","998,0","17,9",,,"24,9","68,7",1,,2023-09-04 09:30:00
"63,6","2,30","2,12","55,196","51,305","58,0","998,0","18,4",,,"25,8","66,1",1,,2023-09-04 09:30:03
"63,6","2,30","2,14","55,196","51,305","57,7","997,0","16,6",,,"24,0","72,4",1,,2023-09-04 09:30:03
"0,0","0,00","0,00","0,000","0,000","0,0","994,0","15,7",,,"25,4","45,2",1,,2023-09-06 18:46:37
"0,0","0,00","0,00","0,000","0,000","0,0","994,0","15,7",,,"25,4","45,2",1,,2023-09-06 18:46:38
"58,4","1,53","1,42","0,011","0,010","5,4","994,0","15,7",,,"24,9","45,1",1,,2023-09-06 18:47:03
"58,4","1,53","1,42","0,011","0,010","5,4","994,0","15,7",,,"24,9","45,1",1,,2023-09-06 18:47:03
"0,0","0,00","0,00","0,000","0,000","0,0","1001,0","12,1",,,"23,4","69,8",1,,2023-09-07 09:28:21
"0,0","0,00","0,00","0,000","0,000","0,0","1001,0","12,3",,,"23,4","67,9",1,,2023-09-07 09:30:00
"63,8","2,29","2,17","2,295","2,168","56,4","1000,0","12,7",,,"21,9","65,6",1,,2023-09-07 10:30:00
"63,7","2,30","2,16","4,595","4,328","56,7","1000,0","14,3",,,"23,0","57,3",1,,2023-09-07 11:30:00
"63,8","2,30","2,14","10,710","10,034","56,1","999,0","16,6",,,"24,2","42,4",1,,2023-09-07 17:10:01
"63,9","2,30","2,15","13,010","12,180","56,4","999,0","15,8",,,"23,6","43,9",1,,2023-09-07 18:10:01
"64,2","2,30","2,16","15,310","14,339","55,8","999,0","14,1",,,"23,2","47,9",1,,2023-09-07 19:10:01
"64,3","2,30","2,17","17,610","16,505","56,1","999,0","13,1",,,"22,2","52,5",1,,2023-09-07 20:10:01
"64,4","2,30","2,17","19,910","18,675","55,8","999,0","12,5",,,"21,9","56,7",1,,2023-09-07 21:10:01
"64,5","2,30","2,17","22,210","20,846","56,1","998,0","12,4",,,"22,1","59,3",1,,2023-09-07 22:10:01
"64,6","2,30","2,17","24,510","23,018","56,1","998,0","12,2",,,"22,2","62,1",1,,2023-09-07 23:10:01
"64,7","2,30","2,17","26,810","25,192","56,3","998,0","11,7",,,"22,1","66,7",1,,2023-09-08 00:10:01
"64,7","2,30","2,18","29,110","27,368","56,3","997,0","11,4",,,"22,0","68,9",1,,2023-09-08 01:10:01
"64,8","2,30","2,18","31,410","29,544","56,1","997,0","11,2",,,"22,0","69,4",1,,2023-09-08 02:10:01
"64,8","2,30","2,18","33,710","31,720","56,3","996,0","11,0",,,"21,9","70,1",1,,2023-09-08 03:10:01
"64,9","2,30","2,18","36,010","33,898","55,8","996,0","10,7",,,"21,9","72,0",1,,2023-09-08 04:10:01
"65,3","2,30","2,18","38,310","36,082","56,3","996,0","10,0",,,"21,6","78,6",1,,2023-09-08 05:10:01
"65,3","2,30","2,19","40,610","38,267","56,1","995,0","9,4",,,"21,2","83,9",1,,2023-09-08 06:10:01
"65,3","2,30","2,18","42,910","40,450","56,0","994,0","9,6",,,"21,4","82,4",1,,2023-09-08 07:10:01
"65,2","2,30","2,18","45,211","42,630","56,0","994,0","10,0",,,"21,8","79,1",1,,2023-09-08 08:10:01
"64,8","2,30","2,17","47,511","44,801","56,6","994,0","10,9",,,"22,5","73,4",1,,2023-09-08 09:10:01
"64,7","2,30","2,17","48,279","45,524","56,6","993,0","11,6",,,"22,8","69,4",1,,2023-09-08 09:30:03
"64,7","2,30","2,17","48,279","45,524","56,6","997,0","12,1",,,"22,3","64,1",1,,2023-09-08 09:30:03
"0,0","0,00","0,00","0,000","0,000","0,0","999,0","14,5",,,"25,0","73,6",1,,2023-09-09 20:40:19
"0,0","0,00","0,00","0,000","0,000","0,0","1000,0","11,7",,,"25,0","82,4",1,,2023-09-10 09:30:00
"64,4","2,29","2,17","2,295","2,172","57,8","1000,0","11,9",,,"21,7","81,6",1,,2023-09-10 10:30:00
"64,4","2,30","2,17","4,595","4,341","58,1","1000,0","12,9",,,"22,5","77,0",1,,2023-09-10 11:30:00
"63,7","2,30","2,15","6,895","6,493","58,4","999,0","15,1",,,"23,8","68,4",1,,2023-09-10 12:30:00
"63,5","2,30","2,14","9,195","8,631","58,7","999,0","16,9",,,"24,9","61,7",1,,2023-09-10 13:30:00
"63,5","2,30","2,13","11,495","10,757","58,7","998,0","18,3",,,"25,7","57,2",1,,2023-09-10 14:30:00
"63,5","2,30","2,12","13,795","12,876","58,6","998,0","19,1",,,"26,4","53,5",1,,2023-09-10 15:30:00
"63,4","2,30","2,11","16,095","14,990","58,9","997,0","19,6",,,"26,6","50,2",1,,2023-09-10 16:30:00
