TCcounts,TCmass,TCconc,AE33_BC6,AE33_ValidData,AE33_b,OC,EC,CO2,EndTimeUTC
330.97,5705.92,5762,3529,93,1,2233,3529,420.25,2023-06-30 20:00:00
366.88,6280.97,6344,4198,100,1,2146,4198,413.5,2023-06-30 21:00:00
370.58,6388.78,6450,3737,100,1,2713,3737,407.77,2023-06-30 22:00:00
286.39,4902.95,4955,2470,100,1,2485,2470,396.22,2023-06-30 23:00:00
266.18,4588.98,4637,1754,100,1,2883,1754,391.66,2023-07-01 00:00:00
225.99,3869.03,3909,1025,100,1,2884,1025,382.4,2023-07-01 01:00:00
216.71,3736.06,3774,791,100,1,2983,791,382.41,2023-07-01 02:00:00
218.04,3732.88,3769,787,100,1,2982,787,376.46,2023-07-01 03:00:00
232.55,4009.22,4048,749,100,1,3299,749,377.06,2023-07-01 04:00:00
225.12,3854.03,3893,743,100,1,3150,743,369.42,2023-07-01 05:00:00
234.66,4045.58,4085,774,100,1,3311,774,368.62,2023-07-01 06:00:00
239.87,4106.53,4147,756,100,1,3391,756,361.53,2023-07-01 07:00:00
227.61,3924.03,3962,605,100,1,3357,605,359.94,2023-07-01 08:00:00
242.57,4152.76,4192,498,93,1,3694,498,356.79,2023-07-01 09:00:00
249.45,4300.44,4341,611,100,1,3730,611,357.11,2023-07-01 10:00:00
241.02,4126.21,4166,483,100,1,3683,483,354.96,2023-07-01 11:00:00
249.74,4305.54,4350,479,100,1,3871,479,355.71,2023-07-01 12:00:00
245.49,4202.79,4241,543,100,1,3698,543,353.98,2023-07-01 13:00:00
244.98,4223.52,4265,600,100,1,3665,600,354.39,2023-07-01 14:00:00
261.11,4470.2,4515,516,100,1,3999,516,353.57,2023-07-01 15:00:00
422.25,7279.58,7357,738,100,1,6619,738,355.82,2023-07-01 16:00:00
248.8,4259.44,4300,1033,100,1,3267,1033,356.33,2023-07-01 17:00:00
269.95,4653.87,4698,1267,100,1,3431,1267,359.65,2023-07-01 18:00:00
235.47,4031.18,4066,804,100,1,3262,804,360.79,2023-07-01 19:00:00
239.9,4135.83,4179,795,100,1,3384,795,367.64,2023-07-01 20:00:00
239.54,4100.93,4139,1056,100,1,3083,1056,368.51,2023-07-01 21:00:00
262.68,4528.61,4574,1057,100,1,3517,1057,371.49,2023-07-01 22:00:00
261.82,4482.32,4525,968,100,1,3557,968,372.79,2023-07-01 23:00:00
272.61,4699.81,4746,1069,100,1,3677,1069,377.98,2023-07-02 00:00:00
246.65,4222.65,4260,740,100,1,3520,740,379.55,2023-07-02 01:00:00
263.86,4549.01,4591,1329,100,1,3262,1329,381.63,2023-07-02 02:00:00
224.85,3849.4,3885,849,100,1,3036,849,379.99,2023-07-02 03:00:00
188.37,3247.5,3279,422,100,1,2857,422,381.1,2023-07-02 04:00:00
243.47,4168.28,4207,477,100,1,3730,477,376.95,2023-07-02 05:00:00
221.29,3815.06,3850,528,100,1,3322,528,373.97,2023-07-02 06:00:00
209.74,3590.69,3623,485,100,1,3138,485,368.15,2023-07-02 07:00:00
187.41,3230.93,3267,445,93,1,2822,445,365.92,2023-07-02 08:00:00
194.52,3330.17,3360,435,100,1,2925,435,361.52,2023-07-02 09:00:00
209.87,3618.12,3655,436,100,1,3219,436,361.18,2023-07-02 10:00:00
201.23,3445.04,3478,423,100,1,3055,423,359.97,2023-07-02 11:00:00
207.69,3580.62,3618,354,100,1,3264,354,360.4,2023-07-02 12:00:00
214.95,3679.88,3714,443,100,1,3271,443,358.44,2023-07-02 13:00:00
213.23,3676.04,3715,396,100,1,3319,396,359.18,2023-07-02 14:00:00
225.41,3859.08,3894,449,100,1,3445,449,357.66,2023-07-02 15:00:00
215.74,3719.32,3759,463,100,1,3296,463,358.78,2023-07-02 16:00:00
240.39,4115.46,4155,615,100,1,3540,615,357.65,2023-07-02 17:00:00
263.99,4551.13,4593,845,100,1,3748,845,367.36,2023-07-02 18:00:00
279.7,4788.44,4834,1067,100,1,3767,1067,380.5,2023-07-02 19:00:00
275.41,4748.15,4793,1463,100,1,3330,1463,392.29,2023-07-02 20:00:00
335.44,5742.7,5798,2143,100,1,3655,2143,394.72,2023-07-02 21:00:00
368.96,6360.81,6421,2898,100,1,3523,2898,395.48,2023-07-02 22:00:00
306.96,5255.22,5301,1756,100,1,3545,1756,383.78,2023-07-02 23:00:00
291.61,5027.38,5077,1375,100,1,3702,1375,378.31,2023-07-03 00:00:00
290.07,4965.93,5014,1344,100,1,3670,1344,374.28,2023-07-03 01:00:00
294.8,5082.31,5131,1076,93,1,4055,1076,379.64,2023-07-03 02:00:00
292.82,5013.07,5054,845,100,1,4209,845,384.49,2023-07-03 03:00:00
277.39,4782.17,4831,853,100,1,3978,853,387.8,2023-07-03 04:00:00
249.23,4266.9,4304,831,100,1,3473,831,384.41,2023-07-03 05:00:00
217.61,3751.56,3789,683,100,1,3106,683,378.3,2023-07-03 06:00:00
196.56,3365.09,3394,577,100,1,2817,577,374.77,2023-07-03 07:00:00
193.96,3343.85,3377,597,100,1,2780,597,373.86,2023-07-03 08:00:00
170.45,2918.03,2948,536,100,1,2412,536,366.88,2023-07-03 09:00:00
214.43,3696.72,3735,491,100,1,3244,491,367.16,2023-07-03 10:00:00
182.7,3127.88,3160,542,100,1,2618,542,361.63,2023-07-03 11:00:00
165.31,2850.03,2880,474,100,1,2406,474,363.5,2023-07-03 12:00:00
172.85,2959.11,2987,433,100,1,2554,433,358.78,2023-07-03 13:00:00
179.52,3094.94,3126,405,100,1,2721,405,361.33,2023-07-03 14:00:00
180.29,3086.55,3115,406,100,1,2709,406,358.05,2023-07-03 15:00:00
172.4,2972.09,3002,445,100,1,2557,445,361.61,2023-07-03 16:00:00
197.1,3374.43,3405,612,100,1,2793,612,358.66,2023-07-03 17:00:00
196.13,3381.2,3410,579,100,1,2831,579,364.81,2023-07-03 18:00:00
213.23,3650.5,3681,816,100,1,2865,816,366.52,2023-07-03 19:00:00
229.39,3954.72,3992,1024,100,1,2968,1024,380.86,2023-07-03 20:00:00
251.7,4309.08,4348,1266,100,1,3082,1266,379.05,2023-07-03 21:00:00
257.65,4441.85,4484,1206,100,1,3278,1206,381.99,2023-07-03 22:00:00
242.12,4145.15,4185,1023,100,1,3162,1023,379.39,2023-07-03 23:00:00
243.11,4191.3,4229,1031,100,1,3198,1031,385.26,2023-07-04 00:00:00
281.73,4823.18,4869,1509,93,1,3360,1509,383.55,2023-07-04 01:00:00
267.7,4615.18,4661,1380,100,1,3281,1380,387.93,2023-07-04 02:00:00
245.98,4211.19,4247,1190,100,1,3057,1190,382.34,2023-07-04 03:00:00
246.11,4242.93,4283,1176,100,1,3107,1176,382.32,2023-07-04 04:00:00
255.31,4370.9,4412,1253,100,1,3159,1253,380.12,2023-07-04 05:00:00
251.77,4340.56,4381,1175,100,1,3206,1175,379.85,2023-07-04 06:00:00
241.02,4126.29,4161,789,100,1,3372,789,369.99,2023-07-04 07:00:00
228.43,3938.12,3975,601,100,1,3374,601,367.67,2023-07-04 08:00:00
227.58,3896.14,3936,603,100,1,3333,603,363.69,2023-07-04 09:00:00
226.53,3905.34,3947,601,100,1,3346,601,362.89,2023-07-04 10:00:00
209.91,3593.6,3627,462,100,1,3165,462,360.69,2023-07-04 11:00:00
219.07,3776.72,3815,482,100,1,3333,482,361.34,2023-07-04 12:00:00
222.44,3808.2,3843,440,100,1,3403,440,360.58,2023-07-04 13:00:00
251.39,4333.93,4380,434,100,1,3946,434,360.79,2023-07-04 14:00:00
231.32,3960.15,3999,468,100,1,3531,468,358.48,2023-07-04 15:00:00
223.5,3853.13,3894,470,100,1,3424,470,359.68,2023-07-04 16:00:00
242.8,4156.78,4192,617,100,1,3575,617,360.59,2023-07-04 17:00:00
260.02,4482.68,4529,876,100,1,3653,876,364.5,2023-07-04 18:00:00
303.29,5192.25,5240,1385,100,1,3855,1385,367.47,2023-07-04 19:00:00
348.8,6013.37,6074,1963,93,1,4111,1963,374.37,2023-07-04 20:00:00
347.35,5946.71,6001,2364,100,1,3637,2364,376.41,2023-07-04 21:00:00
330.36,5695.48,5752,1800,100,1,3952,1800,379.28,2023-07-04 22:00:00
293.5,5024.71,5069,1416,100,1,3653,1416,376.87,2023-07-04 23:00:00
354.62,6113.59,6177,1586,100,1,4591,1586,377.82,2023-07-05 00:00:00
389.2,6663.17,6726,1401,100,1,5325,1401,376.82,2023-07-05 01:00:00
286.03,4931.22,4980,1110,100,1,3870,1110,377.86,2023-07-05 02:00:00
297.28,5089.51,5135,1132,100,1,4003,1132,375.17,2023-07-05 03:00:00
313.36,5402.34,5455,1545,100,1,3910,1545,374.75,2023-07-05 04:00:00
361.7,6192.29,6246,1852,100,1,4394,1852,370.91,2023-07-05 05:00:00
320.57,5526.58,5586,1430,100,1,4156,1430,368.81,2023-07-05 06:00:00
349.73,5987.43,6043,1322,93,1,4721,1322,364.92,2023-07-05 07:00:00
299.1,5156.47,5210,929,100,1,4281,929,362.33,2023-07-05 08:00:00
371.17,6354.35,6412,844,100,1,5568,844,359.44,2023-07-05 09:00:00
