TCcounts,TCmass,TCconc,AE33_BC6,AE33_ValidData,AE33_b,OC,EC,CO2,EndTimeUTC
300.89,5187.37,5234,2296,100,1,2938,2296,393.28,2023-07-31 20:00:00
337.33,5775.04,5822,2428,100,1,3394,2428,393.48,2023-07-31 21:00:00
424.34,7315.68,7390,3909,100,1,3481,3909,399.24,2023-07-31 22:00:00
436.54,7473.58,7542,4166,100,1,3376,4166,389.05,2023-07-31 23:00:00
385.16,6640.12,6700,3368,100,1,3332,3368,407.39,2023-08-01 00:00:00
368.05,6300.98,6360,3496,95,1,2864,3496,406.69,2023-08-01 01:00:00
364.38,6281.86,6345,3553,100,1,2792,3553,411.02,2023-08-01 02:00:00
349.25,5979.16,6029,3207,100,1,2822,3207,405.84,2023-08-01 03:00:00
431.76,7443.48,7513,4341,100,1,3172,4341,395.68,2023-08-01 04:00:00
420.25,7194.6,7262,3778,100,1,3484,3778,376.94,2023-08-01 05:00:00
287.28,4952.63,5004,1381,100,1,3623,1381,369.01,2023-08-01 06:00:00
720.73,12338.89,12455,1219,95,1,11236,1219,359.32,2023-08-01 07:00:00
256.32,4419.04,4466,1291,100,1,3175,1291,357.25,2023-08-01 08:00:00
229.89,3935.77,3972,944,100,1,3028,944,353.57,2023-08-01 09:00:00
264.97,4568.09,4618,1186,100,1,3432,1186,355.82,2023-08-01 10:00:00
223.01,3817.85,3855,775,100,1,3080,775,352.46,2023-08-01 11:00:00
240.01,4137.75,4178,934,100,1,3244,934,353.63,2023-08-01 12:00:00
225.96,3868.36,3909,902,100,1,3007,902,350.45,2023-08-01 13:00:00
214.27,3694.08,3732,812,100,1,2920,812,351.96,2023-08-01 14:00:00
250.05,4280.85,4318,1107,100,1,3211,1107,352.79,2023-08-01 15:00:00
256.1,4415.21,4457,1284,100,1,3173,1284,357.83,2023-08-01 16:00:00
258.4,4423.74,4462,1271,100,1,3191,1271,360.03,2023-08-01 17:00:00
294.78,5082.04,5127,1536,100,1,3591,1536,367.12,2023-08-01 18:00:00
274.63,4701.68,4745,1407,100,1,3338,1407,366.61,2023-08-01 19:00:00
280.23,4831.17,4880,1426,100,1,3454,1426,370.07,2023-08-01 20:00:00
