timestamp,datetime,CH4,CO,NO,NO2,OZ,PM10,PM2.5,SO2
1701388800,01.12.2023 00:00,1.45,0.0,0.0,0.021,0.0308,0.01,0.009,0.0015
1701388800,01.12.2023 00:00,1.45,,0.0,0.021,0.0308,0.01,0.009,0.0015
1701392400,01.12.2023 01:00,1.45,0.0,0.0,0.014,0.0388,0.009,0.007,0.0016
1701392400,01.12.2023 01:00,1.45,,0.0,0.014,0.0388,0.009,0.007,0.0016
1701396000,01.12.2023 02:00,1.44,,0.0,0.01,0.0448,0.007,0.006,0.0016
1701396000,01.12.2023 02:00,1.44,0.0,0.0,0.01,0.0448,0.007,0.006,0.0016
1701399600,01.12.2023 03:00,1.43,0.23,0.0,0.009,0.0459,0.008,0.007,0.0016
1701399600,01.12.2023 03:00,1.43,,0.0,0.009,0.0459,0.008,0.007,0.0016
1701403200,01.12.2023 04:00,1.44,,0.0,0.009,0.0488,0.007,0.007,0.0015
1701403200,01.12.2023 04:00,1.44,0.23,0.0,0.009,0.0488,0.007,0.007,0.0015
1701406800,01.12.2023 05:00,1.44,,0.0,0.009,0.0484,0.009,0.008,0.0018
1701406800,01.12.2023 05:00,1.44,0.27,0.0,0.009,0.0484,0.009,0.008,0.0018
1701410400,01.12.2023 06:00,1.46,,0.0,0.016,0.0397,0.011,0.01,0.0018
1701410400,01.12.2023 06:00,1.46,0.3,0.0,0.016,0.0397,0.011,0.01,0.0018
1701414000,01.12.2023 07:00,1.44,,0.001,0.016,0.0387,0.011,0.009,0.0017
1701414000,01.12.2023 07:00,1.44,0.3,0.001,0.016,0.0387,0.011,0.009,0.0017
1701417600,01.12.2023 08:00,1.44,0.3,0.0,0.023,0.0317,0.014,0.011,0.0015
1701417600,01.12.2023 08:00,1.44,,0.0,0.023,0.0317,0.014,0.011,0.0015
1701421200,01.12.2023 09:00,1.44,0.3,0.001,0.031,0.0256,0.015,0.011,0.0015
1701421200,01.12.2023 09:00,1.44,,0.001,0.031,0.0256,0.015,0.011,0.0015
1701424800,01.12.2023 10:00,1.44,0.3,0.003,0.028,0.0318,0.014,0.011,0.0018
1701428400,01.12.2023 11:00,1.45,0.37,0.004,0.027,0.0308,0.014,0.012,0.002
1701432000,01.12.2023 12:00,1.45,0.3,0.002,0.024,0.0297,0.015,0.012,0.0019
1701435600,01.12.2023 13:00,1.45,0.33,0.004,0.026,0.0285,0.015,0.012,0.0022
1701439200,01.12.2023 14:00,1.46,0.37,0.006,0.035,0.0191,0.015,0.013,0.0023
1701442800,01.12.2023 15:00,1.46,0.1,0.009,0.044,0.012,0.017,0.013,0.0024
1701446400,01.12.2023 16:00,1.47,0.1,0.01,0.052,0.0066,0.017,0.014,0.0022
1701450000,01.12.2023 17:00,1.48,0.1,0.011,0.056,0.0032,0.019,0.015,0.0023
1701453600,01.12.2023 18:00,1.49,0.1,0.006,0.054,0.0039,0.017,0.014,0.0021
1701457200,01.12.2023 19:00,1.53,0.1,0.009,0.056,0.0025,0.018,0.015,0.0022
1701460800,01.12.2023 20:00,1.56,0.1,0.011,0.058,0.0021,0.017,0.013,0.0024
1701464400,01.12.2023 21:00,1.56,0.1,0.014,0.058,0.0019,0.017,0.012,0.0023
1701468000,01.12.2023 22:00,1.56,0.1,0.012,0.058,0.0018,0.016,0.012,0.0022
1701471600,01.12.2023 23:00,1.56,0.13,0.028,0.059,0.0017,0.017,0.013,0.0026
1701475200,02.12.2023 00:00,1.51,0.2,0.039,0.06,0.0018,0.021,0.015,0.003
1701478800,02.12.2023 01:00,1.52,0.3,0.057,0.065,0.0021,0.024,0.016,0.0035
1701482400,02.12.2023 02:00,1.52,0.3,0.058,0.066,0.0022,0.025,0.018,0.0034
1701486000,02.12.2023 03:00,1.55,0.53,0.057,0.066,0.0021,0.026,0.02,0.0032
1701489600,02.12.2023 04:00,1.51,0.4,0.021,0.06,0.002,0.02,0.016,0.0023
1701493200,02.12.2023 05:00,1.52,0.43,0.028,0.061,0.0017,0.02,0.016,0.0024
1701496800,02.12.2023 06:00,1.55,0.5,0.039,0.063,0.0019,0.025,0.022,0.0028
1701500400,02.12.2023 07:00,1.58,0.5,0.039,0.059,0.0019,0.025,0.021,0.003
1701504000,02.12.2023 08:00,1.57,0.47,0.034,0.057,0.0017,0.024,0.02,0.0028
1701507600,02.12.2023 09:00,1.56,0.5,0.039,0.056,0.0019,0.024,0.02,0.0031
1701511200,02.12.2023 10:00,1.52,0.43,0.031,0.05,0.0028,0.026,0.02,0.0027
1701514800,02.12.2023 11:00,1.5,0.4,0.019,0.041,0.0059,0.023,0.018,0.0024
1701518400,02.12.2023 12:00,1.5,0.4,0.021,0.038,0.0096,0.024,0.018,0.0026
1701522000,02.12.2023 13:00,1.49,0.33,0.022,0.037,0.0128,0.022,0.015,0.0027
1701525600,02.12.2023 14:00,1.47,0.4,0.022,0.042,0.0112,0.024,0.014,0.0029
1701529200,02.12.2023 15:00,1.45,0.23,0.009,0.041,0.0163,0.018,0.013,0.0023
1701532800,02.12.2023 16:00,1.46,0.2,0.01,0.049,0.0108,0.016,0.012,0.0026
1701536400,02.12.2023 17:00,1.47,0.2,0.007,0.054,0.0064,0.017,0.012,0.0024
