Date;Time;Type;D/N;Pump Run Time Total(h:m);Time of Measurement(h:m);Motorspeed(%);Actual(m3/h);Actual(Nm3/h);Actual(m3);Actual(Nm3);Filter Press.(hPa);Air Pressure(hPa);Outdoor Temp.('C);Filter Temp.('C);Chamber Temp.('C);Temperature orifice('C);Rel.Humidity(%);Magazine Position;Measuring Typ;Sample ID;Max. Planned Pos.;Event;Error
01.11.2023 00:30:00;LVS 3.1;00977;11536:02;15:00;65,3; 2,30; 2,16;  34,495;  32,612;61,9;985,0; 9,5;;;21,8;90,3;1;Time;;;;;
01.11.2023 01:30:00;LVS 3.1;00977;11537:02;16:00;65,1; 2,30; 2,16;  36,795;  34,768;61,9;984,0;10,3;;;22,0;87,6;1;Time;;;;;
01.11.2023 02:30:00;LVS 3.1;00977;11538:02;17:00;65,1; 2,30; 2,15;  39,095;  36,919;61,9;984,0;10,7;;;22,1;86,3;1;Time;;;;;
01.11.2023 03:30:00;LVS 3.1;00977;11539:02;18:00;65,2; 2,30; 2,15;  41,395;  39,071;61,9;983,0;10,4;;;22,2;87,9;1;Time;;;;;
01.11.2023 04:30:00;LVS 3.1;00977;11540:02;19:00;65,2; 2,30; 2,15;  43,695;  41,221;62,2;982,0;10,4;;;22,2;88,6;1;Time;;;;;
01.11.2023 05:30:00;LVS 3.1;00977;11541:02;20:00;65,1; 2,30; 2,15;  45,995;  43,368;62,5;982,0;10,6;;;22,2;88,6;1;Time;;;;;
01.11.2023 06:30:00;LVS 3.1;00977;11542:02;21:00;64,9; 2,30; 2,14;  48,295;  45,512;62,4;981,0;11,0;;;22,5;88,0;1;Time;;;;;
01.11.2023 07:30:00;LVS 3.1;00977;11543:02;22:00;65,0; 2,30; 2,14;  50,595;  47,656;62,7;981,0;10,8;;;22,2;89,1;1;Time;;;;;
01.11.2023 08:04:15;LVS 3.1;00977;11543:36;22:34;64,9; 2,30; 2,14;  51,908;  48,881;62,7;981,0;10,8;;;22,1;89,1;1;Time;;;cancelled by user;;
01.11.2023 08:04:16;LVS 3.1;00977;11543:36;22:34;64,9; 2,30; 2,17;  51,908;  48,881;62,4;987,0; 9,5;;;21,9;88,3;1;Time;;;average values;;
01.11.2023 08:08:20;LVS 3.1;00977;11543:36;0:00; 0,0; 0,00; 0,00;   0,000;   0,000; 0,0;981,0;10,9;;;25,6;88,5;1;Time;;;start of measurement;;
01.11.2023 09:30:00;LVS 3.1;00977;11543:36;0:00; 0,0; 0,00; 0,00;   0,000;   0,000; 0,3;982,0;11,9;;;26,6;84,5;1;Time;;;;
01.11.2023 10:30:00;LVS 3.1;00977;11544:36;1:00;64,5; 2,29; 2,13;   2,295;   2,131;62,2;981,0;12,0;;;22,7;83,5;1;Time;;;;;
01.11.2023 11:30:00;LVS 3.1;00977;11545:36;2:00;64,6; 2,30; 2,13;   4,595;   4,261;62,1;981,0;12,7;;;23,3;80,8;1;Time;;;;;
01.11.2023 12:30:00;LVS 3.1;00977;11546:36;3:00;64,4; 2,30; 2,13;   6,895;   6,387;62,1;981,0;13,3;;;23,5;79,1;1;Time;;;;;
01.11.2023 13:30:00;LVS 3.1;00977;11547:36;4:00;64,1; 2,30; 2,11;   9,195;   8,502;62,4;980,0;14,6;;;24,4;74,0;1;Time;;;;;
01.11.2023 14:30:00;LVS 3.1;00977;11548:36;5:00;64,1; 2,30; 2,10;  11,495;  10,606;62,1;980,0;15,8;;;25,2;68,8;1;Time;;;;;
01.11.2023 15:30:00;LVS 3.1;00977;11549:36;6:00;64,3; 2,30; 2,11;  13,795;  12,712;62,1;979,0;15,6;;;24,8;68,9;1;Time;;;;;
01.11.2023 16:30:00;LVS 3.1;00977;11550:36;7:00;64,3; 2,30; 2,11;  16,095;  14,820;62,1;979,0;15,0;;;24,3;70,7;1;Time;;;;;
01.11.2023 17:30:00;LVS 3.1;00977;11551:36;8:00;64,5; 2,30; 2,11;  18,395;  16,933;62,4;979,0;14,4;;;23,9;73,0;1;Time;;;;;
01.11.2023 18:30:00;LVS 3.1;00977;11552:36;9:00;64,5; 2,30; 2,12;  20,695;  19,049;62,4;979,0;14,0;;;23,7;75,2;1;Time;;;;;
01.11.2023 19:30:00;LVS 3.1;00977;11553:36;10:00;64,6; 2,30; 2,12;  22,995;  21,166;61,8;978,0;13,7;;;23,7;76,5;1;Time;;;;;
