TCcounts,TCmass,TCconc,AE33_BC6,AE33_ValidData,AE33_b,OC,EC,CO2,EndTimeUTC
596.25,10279.41,10374,444,100,1,9930,444,375.82,2023-12-31 20:00:00
276.9,4740.57,4778,297,100,1,4481,297,371.74,2023-12-31 21:00:00
222.55,3836.84,3870,260,100,1,3610,260,373.45,2023-12-31 22:00:00
340.12,5822.79,5872,2301,100,1,3571,2301,370.61,2023-12-31 23:00:00
206.36,3557.67,3587,539,100,1,3048,539,373.95,2024-01-01 00:00:00
185.6,3177.52,3202,286,100,1,2916,286,371.55,2024-01-01 01:00:00
182.98,3154.58,3182,281,100,1,2901,281,375.37,2024-01-01 02:00:00
201.2,3444.47,3475,330,93,1,3145,330,372.93,2024-01-01 03:00:00
203.42,3506.94,3537,312,100,1,3225,312,377.09,2024-01-01 04:00:00
257.55,4409.19,4448,321,100,1,4127,321,383.38,2024-01-01 05:00:00
246.63,4251.95,4300,356,100,1,3944,356,387.85,2024-01-01 06:00:00
436.65,7475.46,7549,378,100,1,7171,378,380.98,2024-01-01 07:00:00
396.82,6841.12,6915,333,100,1,6582,333,380.68,2024-01-01 08:00:00
275.8,4721.66,4766,335,100,1,4431,335,376.83,2024-01-01 09:00:00
207.34,3574.55,3608,329,100,1,3279,329,379.1,2024-01-01 10:00:00
215.21,3684.32,3717,360,100,1,3357,360,375.77,2024-01-01 11:00:00
242.77,4185.31,4231,398,100,1,3833,398,383.21,2024-01-01 12:00:00
275.72,4720.24,4772,472,100,1,4300,472,386.51,2024-01-01 13:00:00
326.03,5620.68,5684,729,100,1,4955,729,386.09,2024-01-01 14:00:00
242.2,4146.55,4191,530,100,1,3661,530,381.02,2024-01-01 15:00:00
284.04,4896.8,4949,855,100,1,4094,855,385.29,2024-01-01 16:00:00
255.82,4379.72,4418,581,100,1,3837,581,381.22,2024-01-01 17:00:00
284.35,4902.23,4956,868,100,1,4088,868,388.91,2024-01-01 18:00:00
337.17,5772.4,5828,1057,100,1,4771,1057,386.9,2024-01-01 19:00:00
303.73,5236.37,5289,981,100,1,4308,981,394.91,2024-01-01 20:00:00
276.9,4740.57,4779,740,100,1,4039,740,389.17,2024-01-01 21:00:00
296.26,5107.46,5160,747,100,1,4413,747,393.21,2024-01-01 22:00:00
291.02,4982.3,5029,810,100,1,4219,810,389.16,2024-01-01 23:00:00
284.98,4913.1,4961,741,100,1,4220,741,392.4,2024-01-02 00:00:00
286.77,4909.54,4958,733,100,1,4225,733,386.71,2024-01-02 01:00:00
284.52,4905.17,4955,765,100,1,4190,765,392.22,2024-01-02 02:00:00
275.54,4717.18,4760,701,100,1,4059,701,387.34,2024-01-02 03:00:00
262.26,4521.41,4569,568,100,1,4001,568,390.69,2024-01-02 04:00:00
265.46,4544.66,4590,522,100,1,4068,522,383.91,2024-01-02 05:00:00
306.35,5281.5,5335,620,100,1,4715,620,390.74,2024-01-02 06:00:00
260.54,4460.49,4506,551,100,1,3955,551,376.5,2024-01-02 07:00:00
259.13,4467.45,4503,580,100,1,3923,580,382.52,2024-01-02 08:00:00
266.16,4556.74,4601,659,93,1,3942,659,380.17,2024-01-02 09:00:00
280.07,4828.49,4878,659,100,1,4219,659,383.12,2024-01-02 10:00:00
276.49,4733.5,4779,629,100,1,4150,629,379.04,2024-01-02 11:00:00
273.13,4708.74,4757,590,100,1,4167,590,382.04,2024-01-02 12:00:00
289.11,4949.63,4996,692,100,1,4304,692,377.78,2024-01-02 13:00:00
296.24,5107.2,5164,705,100,1,4459,705,381.89,2024-01-02 14:00:00
271.29,4644.5,4687,592,100,1,4095,592,374.33,2024-01-02 15:00:00
274.67,4735.23,4783,617,100,1,4166,617,377.59,2024-01-02 16:00:00
274.88,4706.0,4748,636,100,1,4112,636,375.68,2024-01-02 17:00:00
275.89,4756.34,4797,769,100,1,4028,769,377.71,2024-01-02 18:00:00
287.38,4919.97,4960,954,100,1,4006,954,375.05,2024-01-02 19:00:00
296.52,5111.99,5161,942,100,1,4219,942,380.57,2024-01-02 20:00:00
278.01,4759.55,4803,870,100,1,3933,870,379.35,2024-01-02 21:00:00
283.56,4888.64,4937,897,100,1,4040,897,383.71,2024-01-02 22:00:00
275.39,4714.76,4758,930,100,1,3828,930,379.93,2024-01-02 23:00:00
