TCcounts,TCmass,TCconc,AE33_BC6,AE33_ValidData,AE33_b,OC,EC,CO2,EndTimeUTC
351.67,6020.62,6075,2329,100,1,3746,2329,366.54,2023-08-31 20:00:00
310.04,5345.01,5397,1758,93,1,3639,1758,370.89,2023-08-31 21:00:00
308.83,5287.19,5334,1822,100,1,3512,1822,370.58,2023-08-31 22:00:00
341.95,5895.24,5948,2291,100,1,3657,2291,376.63,2023-08-31 23:00:00
309.96,5306.59,5354,2054,100,1,3300,2054,378.87,2023-09-01 00:00:00
330.78,5702.59,5753,2132,100,1,3621,2132,388.45,2023-09-01 01:00:00
318.2,5447.57,5497,2291,100,1,3206,2291,389.83,2023-09-01 02:00:00
331.97,5723.19,5778,2427,100,1,3351,2427,397.65,2023-09-01 03:00:00
347.49,5949.06,6000,2659,100,1,3341,2659,391.17,2023-09-01 04:00:00
819.8,14133.31,14280,4560,93,1,9720,4560,394.28,2023-09-01 05:00:00
511.1,8750.01,8834,3744,100,1,5090,3744,389.33,2023-09-01 06:00:00
668.84,11530.84,11644,3435,100,1,8209,3435,386.41,2023-09-01 07:00:00
370.66,6345.64,6399,2260,100,1,4139,2260,378.76,2023-09-01 08:00:00
302.85,5221.14,5274,1437,100,1,3837,1437,368.6,2023-09-01 09:00:00
269.09,4606.76,4652,1085,100,1,3567,1085,363.44,2023-09-01 10:00:00
255.4,4403.18,4447,898,100,1,3549,898,359.95,2023-09-01 11:00:00
244.65,4188.43,4225,834,100,1,3391,834,357.35,2023-09-01 12:00:00
247.6,4268.65,4314,773,100,1,3541,773,358.03,2023-09-01 13:00:00
247.6,4268.65,4314,773,100,1,3541,773,358.03,2023-09-01 13:00:00
247.6,4268.65,4314,773,100,1,3541,773,358.03,2023-09-01 13:00:00
284.17,4899.01,4957,1220,100,1,3737,1220,365.3,2023-09-01 16:00:00
283.74,4857.67,4903,1766,100,1,3137,1766,374.94,2023-09-01 17:00:00
348.08,6000.84,6058,2645,100,1,3413,2645,380.85,2023-09-01 18:00:00
367.03,6283.55,6338,2664,100,1,3674,2664,382.06,2023-09-01 19:00:00
378.86,6531.58,6600,2658,100,1,3942,2658,386.71,2023-09-01 20:00:00
349.2,5978.37,6032,2237,100,1,3795,2237,387.15,2023-09-01 21:00:00
368.64,6355.28,6419,2269,100,1,4150,2269,392.39,2023-09-01 22:00:00
357.19,6115.1,6171,2366,93,1,3805,2366,392.84,2023-09-01 23:00:00
365.34,6298.52,6361,2079,100,1,4282,2079,402.84,2023-09-02 00:00:00
384.7,6586.02,6645,2662,100,1,3983,2662,407.16,2023-09-02 01:00:00
419.61,7234.02,7302,3142,100,1,4160,3142,410.53,2023-09-02 02:00:00
422.92,7240.32,7305,3096,100,1,4209,3096,409.48,2023-09-02 03:00:00
404.23,6968.88,7039,2953,100,1,4086,2953,404.83,2023-09-02 04:00:00
359.35,6152.08,6206,2542,100,1,3664,2542,395.95,2023-09-02 05:00:00
390.37,6729.98,6799,2720,93,1,4079,2720,392.32,2023-09-02 06:00:00
429.73,7356.9,7427,3608,100,1,3819,3608,389.62,2023-09-02 07:00:00
489.28,8435.11,8521,4609,100,1,3912,4609,394.11,2023-09-02 08:00:00
453.76,7768.36,7835,3859,100,1,3976,3859,394.25,2023-09-02 09:00:00
478.56,8250.35,8336,4066,100,1,4270,4066,397.67,2023-09-02 10:00:00
507.39,8686.45,8774,4390,93,1,4384,4390,396.94,2023-09-02 11:00:00
496.53,8560.15,8649,4417,100,1,4232,4417,398.45,2023-09-02 12:00:00
500.11,8561.89,8644,4427,100,1,4217,4427,400.3,2023-09-02 13:00:00
613.16,10570.81,10681,5884,100,1,4797,5884,406.75,2023-09-02 14:00:00
568.73,9736.59,9825,5962,93,1,3863,5962,408.88,2023-09-02 15:00:00
498.83,8599.79,8689,5030,100,1,3659,5030,418.37,2023-09-02 16:00:00
509.55,8723.45,8805,5165,100,1,3640,5165,408.45,2023-09-02 17:00:00
325.92,5618.86,5677,2477,100,1,3200,2477,401.65,2023-09-02 18:00:00
206.65,3537.85,3569,1217,100,1,2352,1217,389.79,2023-09-02 19:00:00
206.21,3555.14,3583,1328,100,1,2255,1328,388.01,2023-09-02 20:00:00
205.04,3510.25,3547,1274,100,1,2273,1274,380.48,2023-09-02 21:00:00
198.55,3423.08,3457,914,100,1,2543,914,378.38,2023-09-02 22:00:00
208.25,3565.32,3592,1078,93,1,2514,1078,380.45,2023-09-02 23:00:00
212.15,3657.46,3695,1049,100,1,2646,1049,383.85,2023-09-03 00:00:00
210.49,3603.64,3636,1161,100,1,2475,1161,384.78,2023-09-03 01:00:00
227.3,3918.71,3957,1444,100,1,2513,1444,389.15,2023-09-03 02:00:00
202.98,3475.07,3504,1206,100,1,2298,1206,392.59,2023-09-03 03:00:00
198.46,3421.52,3458,1097,100,1,2361,1097,390.12,2023-09-03 04:00:00
195.96,3354.8,3387,1297,100,1,2090,1297,385.91,2023-09-03 05:00:00
224.35,3867.81,3905,1731,100,1,2174,1731,379.92,2023-09-03 06:00:00
202.04,3458.86,3487,1270,100,1,2217,1270,374.26,2023-09-03 07:00:00
193.48,3335.61,3371,973,100,1,2398,973,368.75,2023-09-03 08:00:00
178.98,3064.2,3096,689,100,1,2407,689,359.2,2023-09-03 09:00:00
176.35,3040.25,3071,664,100,1,2407,664,359.91,2023-09-03 10:00:00
172.2,2948.04,2977,684,100,1,2293,684,355.22,2023-09-03 11:00:00
215.72,3718.93,3762,818,100,1,2944,818,357.65,2023-09-03 12:00:00
201.95,3457.3,3493,848,100,1,2645,848,351.79,2023-09-03 13:00:00
207.29,3573.71,3610,801,100,1,2809,801,355.54,2023-09-03 14:00:00
186.66,3195.7,3229,885,100,1,2344,885,353.58,2023-09-03 15:00:00
235.18,4054.49,4098,1095,100,1,3003,1095,364.45,2023-09-03 16:00:00
224.66,3846.1,3884,1324,93,1,2560,1324,368.84,2023-09-03 17:00:00
262.2,4520.29,4562,1788,100,1,2774,1788,377.43,2023-09-03 18:00:00
270.7,4634.44,4673,1836,100,1,2837,1836,375.75,2023-09-03 19:00:00
323.71,5580.73,5629,2685,100,1,2944,2685,387.14,2023-09-03 20:00:00
367.82,6297.01,6356,3396,100,1,2960,3396,396.68,2023-09-03 21:00:00
522.33,9005.05,9092,5515,100,1,3577,5515,412.46,2023-09-03 22:00:00
523.31,8959.03,9037,5491,93,1,3546,5491,409.31,2023-09-03 23:00:00
483.61,8337.35,8419,4589,100,1,3830,4589,416.11,2023-09-04 00:00:00
447.18,7655.69,7728,3995,100,1,3733,3995,410.59,2023-09-04 01:00:00
436.48,7524.87,7597,3596,100,1,4001,3596,415.52,2023-09-04 02:00:00
473.08,8099.05,8167,4582,100,1,3585,4582,415.76,2023-09-04 03:00:00
482.71,8321.85,8407,5081,93,1,3326,5081,415.1,2023-09-04 04:00:00
336.96,5768.82,5821,2625,100,1,3196,2625,405.78,2023-09-04 05:00:00
294.69,5080.38,5136,2032,100,1,3104,2032,403.73,2023-09-04 06:00:00
331.39,5673.45,5731,2229,100,1,3502,2229,391.1,2023-09-04 07:00:00
303.19,5227.01,5272,2176,100,1,3096,2176,385.99,2023-09-04 08:00:00
248.3,4250.87,4287,1432,100,1,2855,1432,373.37,2023-09-04 09:00:00
207.65,3579.91,3613,879,100,1,2734,879,366.51,2023-09-04 10:00:00
191.53,3279.05,3309,793,100,1,2516,793,360.06,2023-09-04 11:00:00
213.15,3674.77,3715,716,100,1,2999,716,358.45,2023-09-04 12:00:00
205.54,3518.9,3550,689,100,1,2861,689,356.14,2023-09-04 13:00:00
218.66,3769.7,3808,769,100,1,3039,769,357.85,2023-09-04 14:00:00
203.11,3477.27,3508,764,93,1,2744,764,358.44,2023-09-04 15:00:00
217.4,3748.04,3783,1065,100,1,2718,1065,364.11,2023-09-04 16:00:00
247.71,4240.81,4276,1834,100,1,2442,1834,369.11,2023-09-04 17:00:00
256.5,4422.09,4466,1973,100,1,2493,1973,377.7,2023-09-04 18:00:00
274.96,4707.37,4749,2406,100,1,2343,2406,381.56,2023-09-04 19:00:00
297.37,5126.62,5177,2437,100,1,2740,2437,392.36,2023-09-04 20:00:00
292.31,5004.38,5050,2499,100,1,2551,2499,391.99,2023-09-04 21:00:00
321.51,5542.8,5599,2768,100,1,2831,2768,393.49,2023-09-04 22:00:00
330.8,5663.27,5712,2736,100,1,2976,2736,396.24,2023-09-04 23:00:00
324.04,5586.53,5642,2594,93,1,3048,2594,402.81,2023-09-05 00:00:00
310.15,5309.75,5354,2511,100,1,2843,2511,405.79,2023-09-05 01:00:00
318.15,5484.94,5542,2617,100,1,2925,2617,405.85,2023-09-05 02:00:00
346.1,5925.31,5977,3232,100,1,2745,3232,407.36,2023-09-05 03:00:00
308.63,5320.8,5372,2536,100,1,2836,2536,405.7,2023-09-05 04:00:00
284.11,4863.89,4906,2247,100,1,2659,2247,400.86,2023-09-05 05:00:00
294.4,5075.43,5118,2336,100,1,2782,2336,395.0,2023-09-05 06:00:00
249.43,4270.21,4302,2008,100,1,2294,2008,386.54,2023-09-05 07:00:00
222.71,3839.57,3876,1324,100,1,2552,1324,379.23,2023-09-05 08:00:00
193.83,3318.43,3349,954,93,1,2395,954,372.11,2023-09-05 09:00:00
224.08,3863.11,3901,905,100,1,2996,905,366.6,2023-09-05 10:00:00
189.74,3248.36,3278,639,100,1,2639,639,361.41,2023-09-05 11:00:00
228.71,3942.93,3988,638,100,1,3350,638,361.85,2023-09-05 12:00:00
222.47,3808.76,3847,672,100,1,3175,672,357.51,2023-09-05 13:00:00
225.44,3886.62,3927,791,100,1,3136,791,357.65,2023-09-05 14:00:00
205.74,3522.26,3556,766,100,1,2790,766,356.16,2023-09-05 15:00:00
