TCcounts,TCmass,TCconc,AE33_BC6,AE33_ValidData,AE33_b,OC,EC,CO2,EndTimeUTC
331.98,5683.47,5736,2065,100,1,3671,2065,395.19,2023-10-31 20:00:00
333.05,5741.84,5803,1804,100,1,3999,1804,396.4,2023-10-31 21:00:00
321.34,5501.33,5555,1553,100,1,4002,1553,390.6,2023-10-31 22:00:00
313.73,5408.77,5466,1235,100,1,4231,1235,393.19,2023-10-31 23:00:00
306.31,5243.96,5293,1087,100,1,4206,1087,387.56,2023-11-01 00:00:00
304.87,5255.97,5311,1033,100,1,4278,1033,389.94,2023-11-01 01:00:00
296.08,5068.83,5118,1026,100,1,4092,1026,384.86,2023-11-01 02:00:00
296.92,5118.96,5173,992,100,1,4181,992,387.46,2023-11-01 03:00:00
265.09,4538.33,4580,1104,95,1,3476,1104,382.44,2023-11-01 04:00:00
264.71,4563.62,4608,1169,100,1,3439,1169,382.51,2023-11-01 05:00:00
290.51,4973.47,5018,1399,100,1,3619,1399,382.1,2023-11-01 06:00:00
272.89,4704.68,4751,1541,100,1,3210,1541,386.2,2023-11-01 07:00:00
260.19,4454.47,4497,1363,100,1,3134,1363,381.44,2023-11-01 08:00:00
258.71,4460.23,4507,1322,100,1,3185,1322,384.1,2023-11-01 09:00:00
246.01,4211.76,4254,1319,100,1,2935,1319,378.1,2023-11-01 10:00:00
227.67,3924.96,3969,1089,100,1,2880,1089,380.91,2023-11-01 11:00:00
228.51,3912.04,3949,1010,100,1,2939,1010,374.27,2023-11-01 12:00:00
241.89,4170.1,4211,1451,100,1,2760,1451,379.7,2023-11-01 13:00:00
282.79,4841.39,4883,1949,100,1,2934,1949,377.26,2023-11-01 14:00:00
287.86,4962.76,5017,2006,100,1,3011,2006,382.8,2023-11-01 15:00:00
302.13,5172.55,5224,1590,100,1,3634,1590,376.91,2023-11-01 16:00:00
315.6,5440.89,5498,1977,95,1,3521,1977,385.55,2023-11-01 17:00:00
354.6,6070.71,6129,2492,100,1,3637,2492,382.14,2023-11-01 18:00:00
306.22,5279.26,5335,1720,100,1,3615,1720,385.04,2023-11-01 19:00:00
266.78,4567.28,4610,1447,100,1,3163,1447,379.72,2023-11-01 20:00:00
252.49,4352.87,4396,1287,100,1,3109,1287,383.61,2023-11-01 21:00:00
246.41,4218.5,4256,1140,100,1,3116,1140,379.07,2023-11-01 22:00:00
236.99,4085.68,4123,1036,100,1,3087,1036,383.91,2023-11-01 23:00:00
229.23,3924.35,3960,967,100,1,2993,967,379.53,2023-11-02 00:00:00
240.82,4151.71,4195,1118,100,1,3077,1118,385.79,2023-11-02 01:00:00
258.57,4426.7,4468,1346,100,1,3122,1346,387.38,2023-11-02 02:00:00
226.6,3906.6,3946,1142,100,1,2804,1142,396.69,2023-11-02 03:00:00
166.15,2844.42,2868,532,100,1,2336,532,386.01,2023-11-02 04:00:00
157.36,2712.85,2738,546,100,1,2192,546,388.89,2023-11-02 05:00:00
181.36,3104.87,3133,795,100,1,2338,795,384.4,2023-11-02 06:00:00
194.87,3359.61,3394,918,100,1,2476,918,390.69,2023-11-02 07:00:00
186.68,3195.98,3230,868,100,1,2362,868,385.13,2023-11-02 08:00:00
168.41,2903.34,2933,623,93,1,2310,623,382.33,2023-11-02 09:00:00
161.03,2756.88,2780,741,100,1,2039,741,377.58,2023-11-02 10:00:00
168.8,2910.17,2935,876,100,1,2059,876,381.3,2023-11-02 11:00:00
148.55,2543.14,2565,535,100,1,2030,535,375.48,2023-11-02 12:00:00
158.14,2726.34,2753,590,100,1,2163,590,379.79,2023-11-02 13:00:00
178.65,3058.47,3083,716,100,1,2367,716,376.07,2023-11-02 14:00:00
181.41,3127.43,3160,645,100,1,2515,645,379.81,2023-11-02 15:00:00
149.54,2560.1,2582,472,100,1,2110,472,374.87,2023-11-02 16:00:00
151.75,2616.09,2640,420,100,1,2220,420,378.1,2023-11-02 17:00:00
154.38,2642.93,2668,312,100,1,2356,312,374.32,2023-11-02 18:00:00
164.45,2835.18,2862,358,100,1,2504,358,375.3,2023-11-02 19:00:00
144.91,2480.79,2501,317,100,1,2184,317,371.77,2023-11-02 20:00:00
138.88,2394.21,2417,222,100,1,2195,222,374.84,2023-11-02 21:00:00
133.22,2280.74,2303,152,100,1,2151,152,371.14,2023-11-02 22:00:00
134.88,2325.41,2347,148,100,1,2199,148,373.08,2023-11-02 23:00:00
142.1,2432.83,2456,173,100,1,2283,173,368.25,2023-11-03 00:00:00
133.35,2299.04,2320,135,100,1,2185,135,372.93,2023-11-03 01:00:00
131.24,2246.79,2267,171,100,1,2096,171,369.72,2023-11-03 02:00:00
148.38,2558.14,2583,204,100,1,2379,204,374.23,2023-11-03 03:00:00
146.24,2503.63,2526,312,100,1,2214,312,371.96,2023-11-03 04:00:00
150.76,2599.12,2626,424,100,1,2202,424,376.29,2023-11-03 05:00:00
163.73,2802.98,2827,579,100,1,2248,579,375.06,2023-11-03 06:00:00
184.25,3176.5,3209,843,100,1,2366,843,379.84,2023-11-03 07:00:00
187.52,3210.34,3241,877,100,1,2364,877,378.1,2023-11-03 08:00:00
183.85,3169.52,3202,891,100,1,2311,891,383.07,2023-11-03 09:00:00
199.92,3422.66,3456,1012,100,1,2444,1012,383.29,2023-11-03 10:00:00
206.98,3568.32,3601,1037,100,1,2564,1037,385.12,2023-11-03 11:00:00
204.31,3497.75,3533,1014,100,1,2519,1014,381.51,2023-11-03 12:00:00
248.67,4287.05,4333,1358,100,1,2975,1358,384.18,2023-11-03 13:00:00
205.8,3523.33,3557,1048,100,1,2509,1048,385.71,2023-11-03 14:00:00
244.14,4208.91,4252,1437,100,1,2815,1437,391.22,2023-11-03 15:00:00
276.15,4727.63,4772,1628,100,1,3144,1628,388.75,2023-11-03 16:00:00
