Date;Time;Type;D/N;Pump Run Time Total(h:m);Time of Measurement(h:m);Motorspeed(%);Actual(m3/h);Actual(Nm3/h);Actual(m3);Actual(Nm3);Filter Press.(hPa);Air Pressure(hPa);Outdoor Temp.('C);Filter Temp.('C);Chamber Temp.('C);Temperature orifice('C);Rel.Humidity(%);Magazine Position;Measuring Typ;Sample ID;Max. Planned Pos.;Event;Error
01.11.2023 00:30:00;PNS 18T DM-6.1;10704;14255:02;14:59;38,7; 2,30; 2,16;  34,462;  32,576;68,9;985,0; 9,5;23,4;20,6;28,1;91,8;1;Time;;;;;
01.11.2023 01:30:00;PNS 18T DM-6.1;10704;14256:02;15:59;38,5; 2,30; 2,15;  36,759;  34,729;68,9;984,0;10,3;23,6;20,7;28,2;89,0;1;Time;;;;;
01.11.2023 02:30:00;PNS 18T DM-6.1;10704;14257:02;16:59;38,6; 2,30; 2,15;  39,057;  36,878;69,8;983,0;10,7;23,7;20,7;28,3;87,8;1;Time;;;;;
01.11.2023 03:30:00;PNS 18T DM-6.1;10704;14258:02;17:59;38,6; 2,30; 2,15;  41,355;  39,027;68,9;983,0;10,4;23,7;20,6;28,3;89,2;1;Time;;;;;
01.11.2023 04:30:00;PNS 18T DM-6.1;10704;14259:02;18:59;38,6; 2,30; 2,15;  43,653;  41,175;69,8;982,0;10,4;23,7;20,6;28,4;89,9;1;Time;;;;;
01.11.2023 05:30:00;PNS 18T DM-6.1;10704;14260:02;19:59;38,5; 2,30; 2,14;  45,950;  43,320;68,6;981,0;10,6;23,8;20,6;28,4;89,9;1;Time;;;;;
01.11.2023 06:30:00;PNS 18T DM-6.1;10704;14261:02;20:59;38,5; 2,30; 2,14;  48,248;  45,461;68,6;981,0;11,0;24,0;20,7;28,5;89,4;1;Time;;;;;
01.11.2023 07:30:00;PNS 18T DM-6.1;10704;14262:02;21:59;38,6; 2,30; 2,14;  50,546;  47,603;69,2;981,0;10,8;23,9;20,6;28,5;90,4;1;Time;;;;;
01.11.2023 08:02:53;PNS 18T DM-6.1;10704;14262:35;22:32;38,5; 2,30; 2,14;  51,805;  48,776;69,2;980,0;10,8;23,9;20,6;28,5;90,5;1;Time;;;cancelled by user;;
01.11.2023 08:03:02;PNS 18T DM-6.1;10704;14262:35;22:32;38,5; 2,30; 2,16;  51,805;  48,776;69,8;987,0; 9,5;23,3;20,6;27,9;89,7;1;Time;;;average values;;
01.11.2023 08:06:59;PNS 18T DM-6.1;10704;14262:35;0:00; 0,0; 0,00; 0,00;   0,000;   0,000; 0,0;980,0;10,9;31,6;21,1;28,6;89,9;1;Time;;;start of measurement;;
01.11.2023 09:30:00;PNS 18T DM-6.1;10704;14262:35;0:00; 0,0; 0,00; 0,00;   0,000;   0,000; 0,0;981,0;12,1;34,6;21,3;28,2;84,7;1;Time;;;;
01.11.2023 10:30:00;PNS 18T DM-6.1;10704;14263:35;0:59;37,7; 2,29; 2,13;   2,294;   2,128;67,8;981,0;12,2;26,4;20,6;27,3;83,9;1;Time;;;;;
01.11.2023 11:30:00;PNS 18T DM-6.1;10704;14264:35;1:59;37,9; 2,30; 2,13;   4,592;   4,255;67,4;981,0;12,7;26,7;20,6;28,6;81,9;1;Time;;;;;
01.11.2023 12:30:00;PNS 18T DM-6.1;10704;14265:35;2:59;37,9; 2,30; 2,12;   6,889;   6,377;67,9;980,0;13,2;27,3;20,7;29,3;80,2;1;Time;;;;;
01.11.2023 13:30:00;PNS 18T DM-6.1;10704;14266:35;3:59;37,8; 2,30; 2,11;   9,187;   8,489;67,0;980,0;14,6;28,3;20,6;30,0;75,2;1;Time;;;;;
01.11.2023 14:30:00;PNS 18T DM-6.1;10704;14267:35;4:59;37,6; 2,30; 2,10;  11,485;  10,590;67,6;979,0;15,8;28,5;20,7;30,2;69,9;1;Time;;;;;
01.11.2023 15:30:00;PNS 18T DM-6.1;10704;14268:35;5:59;37,8; 2,30; 2,10;  13,782;  12,693;67,6;979,0;15,5;28,8;20,6;30,4;70,0;1;Time;;;;;
01.11.2023 16:30:00;PNS 18T DM-6.1;10704;14269:35;6:59;37,9; 2,30; 2,11;  16,080;  14,799;67,5;978,0;15,0;29,0;20,6;30,5;71,9;1;Time;;;;;
01.11.2023 17:30:00;PNS 18T DM-6.1;10704;14270:35;7:59;38,0; 2,30; 2,11;  18,378;  16,909;67,5;978,0;14,4;28,9;20,6;30,3;74,2;1;Time;;;;;
01.11.2023 18:30:00;PNS 18T DM-6.1;10704;14271:35;8:59;38,1; 2,30; 2,11;  20,675;  19,022;68,1;978,0;13,9;29,0;20,6;30,1;76,4;1;Time;;;;;
01.11.2023 19:30:00;PNS 18T DM-6.1;10704;14272:35;9:59;38,1; 2,30; 2,11;  22,973;  21,136;67,9;978,0;13,6;35,0;20,6;30,0;77,8;1;Time;;;;;
01.11.2023 20:30:00;PNS 18T DM-6.1;10704;14273:35;10:59;38,2; 2,30; 2,12;  25,271;  23,253;67,3;978,0;13,3;36,6;20,6;29,9;79,7;1;Time;;;;;
01.11.2023 21:20:03;PNS 18T DM-6.1;10704;14274:25;11:50;38,2; 2,30; 2,12;  27,187;  25,019;68,4;978,0;13,1;37,9;20,6;29,9;80,4;1;Time;;;end;;
